id,formula,target,Ea (eV),space group,ICSD Entry,formula_preprocessed
555,La0.41Sr0.25Li0.25TiO3,7.64E-05,0.35,221,,La0.41Sr0.25Li0.25TiO3
556,La0.385Sr0.275Li0.275TiO3,6.04E-05,0.37,221,,La0.385Sr0.275Li0.275TiO3
557,La0.36Sr0.3Li0.3TiO3,1.92E-05,0.35,221,,La0.36Sr0.3Li0.3TiO3
558,La0.61Li0.18TiO3,2.09E-04,,221,,La0.61Li0.18TiO3
559,La0.58Li0.27TiO3,8.32E-04,,221,,La0.58Li0.27TiO3
560,La0.56Li0.33TiO3,1.30E-03,,221,,La0.56Li0.33TiO3
561,La0.55Li0.36TiO3,1.54E-03,0.33,221,,La0.55Li0.36TiO3
562,La0.54Li0.39TiO3,1.25E-03,,221,,La0.54Li0.39TiO3
563,La0.52Li0.45TiO3,7.85E-04,,221,,La0.52Li0.45TiO3
564,La0.51Li0.34TiO2.94,7.00E-05,0.36,221,,La0.51Li0.34TiO2.94
565,Li3OBr,1.10E-06,0.74,221,67265,Li3OBr
566,Li7.2N1.6Cl2.4,8.40E-07,0.49,225,49646,Li7.2N1.6Cl2.4
567,Li6NI3,3.70E-06,,225,83380,Li6NI3
568,Li0.19La0.67(Ti0.9Co0.1)O3,1.08E-04,,225,151535,Li0.19La0.67(Ti0.9Co0.1)O3
569,Li6NBr3,1.00E-08,0.69,225,84091,Li6NBr3
570,LiI,1.00E-07,,225,414244,LiI
571,Li(Li0.34Ti1.66)O4,6.03E-08,0.506,227,168137,Li(Li0.34Ti1.66)O4
572,(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,1.73E-08,0.564,227,168139,(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4
573,(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4,4.24E-09,0.615,227,168141,(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4
574,(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,1.51E-09,0.639,227,168142,(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4
575,Li2MnCl4,4.79E-06,,227,69678,Li2MnCl4
576,Li2MgCl4,6.24E-07,,227,74957,Li2MgCl4
577,Li1.9Mn0.9Ga0.1Cl4,2.37E-07,,227,50305,Li1.9Mn0.9Ga0.1Cl4
578,Li1.65Mn0.65In0.35Cl4,9.90E-08,,227,50306,Li1.65Mn0.65In0.35Cl4
579,LiCdCl4,5.80E-07,0.44,227,74958,LiCdCl4
580,LiSrNb2O6F,<1E-10,0.604,227,236009,LiSrNb2O6F
581,LiSrTa2O6F,<1E-10,0.604,227,236010,LiSrTa2O6F
582,LiSr0.9Nb2O6F0.8,<1E-10,0.709,227,236011,LiSr0.9Nb2O6F0.8
583,LiSr0.9Ta2O6F0.8,<1E-10,0.76,227,236012,LiSr0.9Ta2O6F0.8
584,Li1.1SrNb1.9Zr0.1O6F,<1E-10,0.622,227,236013,Li1.1SrNb1.9Zr0.1O6F
585,Li1.1SrTa1.9Zr0.1O6F,<1E-10,0.693,227,236014,Li1.1SrTa1.9Zr0.1O6F
586,Li6SrLa2Nb2O12,4.20E-06,0.5,230,157628,Li6SrLa2Nb2O12
587,Li6CaLa2Nb2O12,1.60E-06,0.55,230,161386,Li6CaLa2Nb2O12
588,Li5.25Ba0.25La2.75Ta2O12,6.03E-06,0.479,230,,Li5.25Ba0.25La2.75Ta2O12
589,Li5.5Ba0.5La2.5Ta2O12,1.35E-05,0.455,230,,Li5.5Ba0.5La2.5Ta2O12
590,Li6.25Ba1.25La1.75Ta2O12,5.05E-05,0.395,230,,Li6.25Ba1.25La1.75Ta2O12
591,Li6.5Ba1.5La1.5Ta2O12,3.20E-05,0.402,230,,Li6.5Ba1.5La1.5Ta2O12
592,Li6.75Ba1.75La1.25Ta2O12,1.25E-05,0.418,230,,Li6.75Ba1.75La1.25Ta2O12
593,Li7Ba2LaTa2O12,3.00E-06,0.442,230,,Li7Ba2LaTa2O12
594,Li5La3Ta2O12,4.33E-06,0.5,230,154400,Li5La3Ta2O12
595,Li6BaLa2Ta2O12,3.02E-05,0.419,230,237201,Li6BaLa2Ta2O12
596,Li7La3Zr1.89Al0.15O12,3.40E-04,0.334,230,,Li7La3Zr1.89Al0.15O12
597,Li7.06La3Y0.06Zr1.94O12,9.56E-04,0.26,230,,Li7.06La3Y0.06Zr1.94O12
598,Li6.25La3Zr2Ga0.25O12,3.50E-04,,230,,Li6.25La3Zr2Ga0.25O12
599,Li7La3Zr2O12,1.20E-04,,230,,Li7La3Zr2O12
600,Li6.8La3Zr1.8Ta0.2O12,2.80E-04,,230,,Li6.8La3Zr1.8Ta0.2O12
601,Li6.6La3Zr1.6Ta0.4O12,7.30E-04,,230,,Li6.6La3Zr1.6Ta0.4O12
602,Li6.5La3Zr1.5Ta0.5O12,9.20E-04,,230,,Li6.5La3Zr1.5Ta0.5O12
603,Li6.4La3Zr1.4Ta0.6O12,1.00E-03,0.35,230,,Li6.4La3Zr1.4Ta0.6O12
604,Li6.2La3Zr1.2Ta0.8O12,3.20E-04,,230,,Li6.2La3Zr1.2Ta0.8O12
605,Li6La3ZrTaO12,1.60E-04,,230,,Li6La3ZrTaO12
606,Li7La3Zr2O12,1.20E-04,,230,,Li7La3Zr2O12
607,Li6.8La3Zr1.8Ta0.2O12,2.80E-04,,230,,Li6.8La3Zr1.8Ta0.2O12
608,Li6.6La3Zr1.6Ta0.4O12,7.30E-04,,230,,Li6.6La3Zr1.6Ta0.4O12
609,Li6.5La3Zr1.5Ta0.5O12,9.20E-04,,230,,Li6.5La3Zr1.5Ta0.5O12
610,Li6.4La3Zr1.4Ta0.6O12,1.00E-03,0.35,230,,Li6.4La3Zr1.4Ta0.6O12
611,Li6.2La3Zr1.2Ta0.8O12,3.20E-04,,230,,Li6.2La3Zr1.2Ta0.8O12
612,Li6La3ZrTaO12,1.60E-04,,230,,Li6La3ZrTaO12
613,Li6.8La3Zr1.8Ta0.2O12,7.80E-04,,230,,Li6.8La3Zr1.8Ta0.2O12
614,Li6.75La3Zr1.75Ta0.25O12,8.80E-04,,230,,Li6.75La3Zr1.75Ta0.25O12
615,Li6.65La3Zr1.65Ta0.35O12,7.70E-04,,230,,Li6.65La3Zr1.65Ta0.35O12
616,Li6.6La3Zr1.6Ta0.4O12,7.20E-04,,230,,Li6.6La3Zr1.6Ta0.4O12
617,Li6.55La3Zr1.55Ta0.45O12,6.90E-04,,230,,Li6.55La3Zr1.55Ta0.45O12
618,Li6La3ZrTaO12,4.40E-04,,230,,Li6La3ZrTaO12
619,Li5La3Ta2O12,1.60E-04,,230,,Li5La3Ta2O12
620,Li6.7La3Zr1.7Ta0.3O12,9.60E-04,0.37,230,,Li6.7La3Zr1.7Ta0.3O12
621,Li6.5La3Zr1.5Ta0.5O12,6.70E-04,,230,183686,Li6.5La3Zr1.5Ta0.5O12
622,Li6.05Ga0.25La3Zr2O11.8F0.2,1.28E-03,0.28,230,,Li6.05Ga0.25La3Zr2O11.8F0.2
623,Li5.72Al0.26La3Zr1.5W0.25O12,4.90E-04,0.35,230,,Li5.72Al0.26La3Zr1.5W0.25O12
624,Li6.8La3Zr1.9Mo0.1O12,8.00E-05,0.46,230,,Li6.8La3Zr1.9Mo0.1O12
625,Li6.6La3Zr1.8Mo0.2O12,3.11E-04,0.48,230,,Li6.6La3Zr1.8Mo0.2O12
626,Li6.4La3Zr1.7Mo0.3O12,3.69E-04,0.49,230,,Li6.4La3Zr1.7Mo0.3O12
627,Li6.2La3Zr1.6Mo0.4O12,3.40E-04,0.48,230,,Li6.2La3Zr1.6Mo0.4O12
628,Li6.5La3Zr1.75Mo0.25O12,3.33E-04,0.39,230,239128,Li6.5La3Zr1.75Mo0.25O12
629,Li6.75La3Zr1.875Te0.125O12,3.30E-04,0.41,230,,Li6.75La3Zr1.875Te0.125O12
630,Li6.5La3Zr1.75Te0.25O12,1.02E-03,0.38,230,,Li6.5La3Zr1.75Te0.25O12
631,Li6.375La3Zr1.375Nb0.625O12,1.37E-03,0.25,230,,Li6.375La3Zr1.375Nb0.625O12
632,Li5La3Ta2O12,1.20E-06,0.56,230,154400,Li5La3Ta2O12
633,Li5La3Nb2O12,1.00E-05,0.43,230,171171,Li5La3Nb2O12
634,Li5La3Bi2O12,4.00E-05,0.47,230,158372,Li5La3Bi2O12
635,Li6La2SrBi2O12,5.20E-05,0.43,230,158373,Li6La2SrBi2O12
636,Li5Nd3Sb2O12,1.30E-07,0.67,230,159426,Li5Nd3Sb2O12
637,Li4Nd3TeSbO12,1.96E-06,0.64,230,159732,Li4Nd3TeSbO12
638,Li5La3Sb2O12,8.20E-06,0.51,230,161342,Li5La3Sb2O12
639,Li6SrLa2Sb2O12,6.60E-06,0.54,230,161343,Li6SrLa2Sb2O12
640,Li6(La2Ca)(NbO6)2,1.33E-06,,230,161386,Li6(La2Ca)(NbO6)2
641,Li6(La2Sr)(NbO6)2,3.69E-06,,230,161387,Li6(La2Sr)(NbO6)2
642,Li6CaLa2Ta2O12,2.20E-06,0.5,230,163860,Li6CaLa2Ta2O12
643,Li6BaLa2Ta2O12,1.30E-05,0.44,230,163861,Li6BaLa2Ta2O12
644,Li6.15La3Zr1.75Ta0.25Ga0.2O12,4.10E-04,0.27,230,,Li6.15La3Zr1.75Ta0.25Ga0.2O12
645,Li6.15La3Zr1.75Ta0.25Al0.2O12,3.70E-04,0.3,230,,Li6.15La3Zr1.75Ta0.25Al0.2O12
646,Li6.75La3Zr1.75Ta0.25O12,8.70E-04,0.22,230,183873,Li6.75La3Zr1.75Ta0.25O12
647,Li6.16Al0.28La3Zr2O12,6.10E-04,0.34,230,185539,Li6.16Al0.28La3Zr2O12
648,Li7La3Zr2O12,1.97E-06,0.49,230,,Li7La3Zr2O12
649,Li7La3Zr1.9222Al0.0778O12,1.58E-04,,230,,Li7La3Zr1.9222Al0.0778O12
650,Li7La3Zr1.8599Al0.1401O12,3.20E-04,0.34,230,,Li7La3Zr1.8599Al0.1401O12
651,Li6.06Al0.2La3Zr2O12,4.00E-04,0.34,230,185539,Li6.06Al0.2La3Zr2O12
652,Li6BaLa2Ta2O12,2.45E-05,0.4,230,185602,Li6BaLa2Ta2O12
653,Nd3Zr2Al0.5Li5.5O12,3.90E-05,0.56,230,189530,Nd3Zr2Al0.5Li5.5O12
654,(Li6.26Al0.24)La3Zr2O12,3.10E-04,0.33,230,195182,(Li6.26Al0.24)La3Zr2O12
655,Li6La3Nb1.5Y0.5O12,1.88E-04,,230,237141,Li6La3Nb1.5Y0.5O12
656,Li5.2La3Nb1.9Y0.1O12,6.39E-05,,230,237143,Li5.2La3Nb1.9Y0.1O12
657,Li5.4La3Nb1.8Y0.2O12,6.74E-05,,230,237144,Li5.4La3Nb1.8Y0.2O12
658,Li5.5La3Nb1.75Y0.25O12,9.18E-05,,230,237145,Li5.5La3Nb1.75Y0.25O12
659,Li6.5La3Nb1.25Y0.75O12,3.43E-04,,230,237146,Li6.5La3Nb1.25Y0.75O12
660,Li6Ba0.5Sr0.5La2Ta2O12,7.10E-06,0.45,230,237199,Li6Ba0.5Sr0.5La2Ta2O12
661,Li6SrLa2Ta2O12,5.40E-06,0.45,230,237200,Li6SrLa2Ta2O12
662,Li6BaLa2Ta2O12,1.50E-05,0.47,230,237201,Li6BaLa2Ta2O12
663,Li6CaLa2Ta2O12,2.20E-06,0.47,230,237202,Li6CaLa2Ta2O12
664,Li6BaLa2Ta2O12,4.00E-05,0.4,230,,Li6BaLa2Ta2O12
665,Li6SrLa2Ta2O12,7.00E-06,0.5,230,,Li6SrLa2Ta2O12
666,Li6SrLa2Ta2O12,7.00E-06,0.5,230,237200,Li6SrLa2Ta2O12
667,Li6BaLa2Ta2O12,4.00E-05,0.4,230,237201,Li6BaLa2Ta2O12
668,Li5.74La3Zr1.5Ta0.5O12,9.03E-04,0.435,230,239663,Li5.74La3Zr1.5Ta0.5O12
669,La3Li5.08Ta1.51Zr0.39O12,1.03E-04,0.536,230,239664,La3Li5.08Ta1.51Zr0.39O12
670,Li51.2Al1.6La24Zr16O96,2.54E-04,0.36,230,241475,Li51.2Al1.6La24Zr16O96
671,Li49.6Al1.6La24Zr14.4Ta1.6O96,6.14E-04,0.29,230,241476,Li49.6Al1.6La24Zr14.4Ta1.6O96
672,Li6.5La3Hf1.5Ta0.5O12,4.00E-04,0.4,230,258921,Li6.5La3Hf1.5Ta0.5O12
673,Li6.5La3Sn1.5Ta0.5O12,1.90E-04,0.45,230,258922,Li6.5La3Sn1.5Ta0.5O12
674,Li5La3Ta2O12,1.59E-05,,230,259164,Li5La3Ta2O12
675,Li5.3La3Ta1.85Sm0.15O12,7.11E-06,,230,259165,Li5.3La3Ta1.85Sm0.15O12
676,Li5.5La3Ta1.75Sm0.25O12,5.17E-06,,230,259166,Li5.5La3Ta1.75Sm0.25O12
677,Li5.70La3Ta1.65Sm0.35O12,2.15E-05,,230,259167,Li5.70La3Ta1.65Sm0.35O12
678,Li5.90La3Ta1.55Sm0.45O12,1.18E-05,,230,259168,Li5.90La3Ta1.55Sm0.45O12
679,Li6.10La3Ta1.45Sm0.55O12,1.40E-05,,230,259169,Li6.10La3Ta1.45Sm0.55O12
680,Li7La3Zr2O12,5.69E-04,0.36,230,422259,Li7La3Zr2O12
681,Li5La3Nb2O12,4.99E-06,,230,,Li5La3Nb2O12
682,Li5La3Nb1.95Y0.05O12,1.32E-05,,230,,Li5La3Nb1.95Y0.05O12
683,Li5La3Nb1.9Y0.1O12,1.43E-05,,230,,Li5La3Nb1.9Y0.1O12
684,Li5La3Nb1.85Y0.15O12,5.85E-06,,230,,Li5La3Nb1.85Y0.15O12
685,Li5La3Nb1.8Y0.2O12,9.05E-06,,230,,Li5La3Nb1.8Y0.2O12
686,Li5La3Nb1.75Y0.25O12,9.42E-06,,230,,Li5La3Nb1.75Y0.25O12
687,Li6.24La3Zr2Al0.24O11.98,4.00E-04,0.26,230,,Li6.24La3Zr2Al0.24O11.98
688,Li7La3Zr1.7Ga0.3O12,3.80E-05,0.37,230,,Li7La3Zr1.7Ga0.3O12
689,Li7La3Zr1.6Ga0.4O12,4.40E-05,0.36,230,,Li7La3Zr1.6Ga0.4O12
690,Li7La3Zr1.5Ga0.5O12,8.90E-05,0.36,230,,Li7La3Zr1.5Ga0.5O12
691,Li7La3Zr1Ga1O12,5.40E-04,0.32,230,,Li7La3Zr1Ga1O12
692,La3Zr2Ga0.5Li5.5O12,1.00E-04,,230,,La3Zr2Ga0.5Li5.5O12
693,Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,230,,Li6.8La3Zr1.8Sb0.2O12
694,Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,230,,Li6.6La3Zr1.6Sb0.4O12
695,Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,230,,Li6.4La3Zr1.4Sb0.6O12
696,Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,230,,Li6.2La3Zr1.2Sb0.8O12
697,Li6La3ZrSbO12,2.60E-04,0.38,230,,Li6La3ZrSbO12
698,Li6.29Al0.07La3Zr1.75Te0.25O12,4.00E-04,0.33,230,,Li6.29Al0.07La3Zr1.75Te0.25O12
699,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,5.27E-04,0.26,230,,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12
700,Li6.4La3Zr1.4Ta0.6O12,7.24E-04,0.24,230,,Li6.4La3Zr1.4Ta0.6O12
701,Li6.4La3Zr1.4Ta0.5Nb0.1O12,4.44E-04,0.27,230,,Li6.4La3Zr1.4Ta0.5Nb0.1O12
702,Li6.4La3Zr1.4Ta0.4Nb0.2O12,4.55E-04,0.28,230,,Li6.4La3Zr1.4Ta0.4Nb0.2O12
703,Li6.4La3Zr1.4Ta0.3Nb0.3O12,6.06E-04,0.26,230,,Li6.4La3Zr1.4Ta0.3Nb0.3O12
704,Li7La3Zr2O12,1.74E-04,0.26,230,,Li7La3Zr2O12
705,Li3Nd3Te2O12,<1E-10,1.22,230,,Li3Nd3Te2O12
706,Li7.131La3Zr2O12Al0.244,7.73E-05,,230,,Li7.131La3Zr2O12Al0.244
707,Li6.949La3Zr2O12Al0.262,2.25E-04,,230,,Li6.949La3Zr2O12Al0.262
708,Li6.835La3Zr2O12Al0.231,2.20E-04,,230,,Li6.835La3Zr2O12Al0.231
709,Li6.660La3Zr2O12Al0.258,1.51E-04,,230,,Li6.660La3Zr2O12Al0.258
710,Li6.75La3Zr1.75Ta0.25O12,4.10E-04,0.42,230,,Li6.75La3Zr1.75Ta0.25O12
711,Li6.5La3Zr1.5Ta0.5O12,6.10E-04,0.4,230,,Li6.5La3Zr1.5Ta0.5O12
712,Li6La3ZrTaO12,2.10E-04,0.42,230,,Li6La3ZrTaO12
713,Li3Gd3Te2O12,<1E-10,,230,,Li3Gd3Te2O12
714,Li3Tb3Te2O12,<1E-10,,230,,Li3Tb3Te2O12
715,Li3Er3Te2O12,<1E-10,,230,,Li3Er3Te2O12
716,Li3Lu3Te2O12,<1E10,,230,,Li3Lu3Te2O12
717,Li2S*P2S5,0.0032,,,,Li2.0S6.0P2.0
718,0.7Li2S-0.3P2S5,5.40E-05,,,,Li1.4S2.2P0.6
719,Li3.8Ge0.8P0.2S4,1.75E-06,0.466,,,Li3.8Ge0.8P0.2S4
720,Li3.6Ge0.6P0.4S4,1.74E-04,0.339,,,Li3.6Ge0.6P0.4S4
721,Li3.4Ge0.4P0.6S4,6.53E-04,0.275,,,Li3.4Ge0.4P0.6S4
722,Li3.35Ge0.35P0.65S4,1.53E-03,0.229,,,Li3.35Ge0.35P0.65S4
723,Li3.3Ge0.3P0.7S4,1.76E-03,0.221,,,Li3.3Ge0.3P0.7S4
724,Li3.2Ge0.2P0.8S4,5.57E-04,0.275,,,Li3.2Ge0.2P0.8S4
725,Li2.9Ca0.05InBr6,2.16E-04,,,,Li2.9Ca0.05InBr6
726,Li2.86Ca0.07InBr6,4.04E-04,,,,Li2.86Ca0.07InBr6
727,Li2.8Ca0.1InBr6,3.00E-04,,,,Li2.8Ca0.1InBr6
728,Li2.7Ca0.15InBr6,6.97E-05,,,,Li2.7Ca0.15InBr6
729,Li3.9Zn0.05GeS4,2.72E-07,0.517,,,Li3.9Zn0.05GeS4
730,Li3.8Zn0.1GeS4,9.95E-08,0.545,,,Li3.8Zn0.1GeS4
731,Li3.6Zn0.2GeS4,5.90E-08,0.539,,,Li3.6Zn0.2GeS4
732,Li2GeS3,9.70E-09,,,,Li2GeS3
733,Li2ZnGeS4,1.40E-09,,,,Li2ZnGeS4
734,Li9.6P3S12,1.20E-03,0.259,,,Li9.6P3S12
735,Li1.3Al0.3Ge1.7(PO4)3,8.24E-05,0.386,,,Li1.3Al0.3Ge1.7(PO4)3
736,Li1.6Al0.6Ge1.4(PO4)3,2.84E-04,0.43,,,Li1.6Al0.6Ge1.4(PO4)3
737,LiTi2(PO4)3-0.2Li2O,0.00024,,,,Li1.4Al0.0Ti2.0P3.0O12.2
738,LiTi2(PO4)3-0.3Li2O,0.0015,,,,Li1.6Al0.0Ti2.0P3.0O12.3
739,LiTi2(PO4)3-0.4Li2O,0.00013,,,,Li1.8Al0.0Ti2.0P3.0O12.4
740,Li1.3Al0.3Ti1.7(PO4)3-0.3Li2O,0.00035,,,,Li1.9Al0.3Ti1.7P3.0O12.3
741,LiTi2(PO4)3-0.1Li4P2O7,0.00016,,,,Li1.4Al0.0Ti2.0P3.2O12.7
742,Li1.4Al0.4Ti1.6(PO4)3,3.38E-03,0.3,,,Li1.4Al0.4Ti1.6(PO4)3
743,Li1.2Ge0.2Ti1.8(PO4)3,7.94E-05,0.27,,,Li1.2Ge0.2Ti1.8(PO4)3
744,Li1.5Ge0.5Ti1.5(PO4)3,1.90E-04,0.33,,,Li1.5Ge0.5Ti1.5(PO4)3
745,Li1.2Al0.2Ti1.8(PO4)3,3.38E-03,0.28,,427619,Li1.2Al0.2Ti1.8(PO4)3
746,Li3ClO,8.50E-04,0.26,,,Li3ClO
747,Li3Cl0.5Br0.5O,1.94E-03,0.18,,,Li3Cl0.5Br0.5O
748,Li3OCl,1.47E-04,0.26,,,Li3OCl
749,Li3OCl0.5Br0.5,9.49E-04,0.18,,,Li3OCl0.5Br0.5
750,Li6.6La2.6Ce0.4Zr2O12,1.44E-05,0.48,,,Li6.6La2.6Ce0.4Zr2O12
751,Li1.4Al0.4Ti1.6(PO4)3,1.10E-03,,,,Li1.4Al0.4Ti1.6(PO4)3
752,80Li2S * 20P2S5,0.00072,,,,Li160.0S85.0P2.0
753,0.8Li2S-0.2P2S5,0.00072,,,,Li1.6S1.8P0.4
754,0.75Li2S-0.25P2S5,0.00028,,,,Li1.5S2.0P0.5
755,Li2S*P2S5*P2S3,0.0054,,,,Li2.0S9.0P4.0
756,Li2S*P2S5*Li3N,0.0014,,,,Li5.0S6.0P2.0N1
757,Li5La3Nb1.9Y0.1O12,1.44E-05,0.55,,,Li5La3Nb1.9Y0.1O12
758,Li7La3Zr2O12,2.35E-04,0.339,,,Li7La3Zr2O12
759,Li6.88La3Zr1.88Nb0.12O12,5.99E-04,0.319,,,Li6.88La3Zr1.88Nb0.12O12
760,Li6.75La3Zr1.75Nb0.25O12,7.71E-04,0.3,,,Li6.75La3Zr1.75Nb0.25O12
761,Li6.62La3Zr1.62Nb0.38O12,4.41E-04,0.31,,,Li6.62La3Zr1.62Nb0.38O12
762,Li6.5La3Zr1.5Nb0.5O12,2.98E-04,0.319,,,Li6.5La3Zr1.5Nb0.5O12
763,Li6La3ZrNbO12,1.50E-04,0.42,,,Li6La3ZrNbO12
764,Li5La3Nb2O12,3.00E-05,0.44,,,Li5La3Nb2O12
765,Li7La3Hf2O12,2.40E-04,0.29,,,Li7La3Hf2O12
766,Li7GePS8,7.00E-03,0.22,,,Li7GePS8
767,Li10(Ge0.95Si0.05)P2S12,8.63E-03,0.251,,,Li10(Ge0.95Si0.05)P2S12
768,Li10(Ge0.9Si0.1)P2S12,8.07E-03,0.26,,,Li10(Ge0.9Si0.1)P2S12
769,Li10(Ge0.8Si0.2)P2S12,7.28E-03,0.261,,,Li10(Ge0.8Si0.2)P2S12
770,Li10(Ge0.7Si0.3)P2S12,5.82E-03,0.265,,,Li10(Ge0.7Si0.3)P2S12
771,Li10(Ge0.6Si0.4)P2S12,5.24E-03,0.28,,,Li10(Ge0.6Si0.4)P2S12
772,Li10(Ge0.5Si0.5)P2S12,4.20E-03,0.284,,,Li10(Ge0.5Si0.5)P2S12
773,Li10(Ge0.2Si0.8)P2S12,4.81E-03,0.269,,,Li10(Ge0.2Si0.8)P2S12
774,Li10(Ge0.95Sn0.05)P2S12,7.80E-03,0.254,,,Li10(Ge0.95Sn0.05)P2S12
775,Li10(Ge0.9Sn0.1)P2S12,7.53E-03,0.256,,,Li10(Ge0.9Sn0.1)P2S12
776,Li10(Ge0.8Sn0.2)P2S12,7.06E-03,0.252,,,Li10(Ge0.8Sn0.2)P2S12
777,Li10(Ge0.7Sn0.3)P2S12,6.49E-03,0.254,,,Li10(Ge0.7Sn0.3)P2S12
778,Li10(Ge0.5Sn0.5)P2S12,6.17E-03,0.249,,,Li10(Ge0.5Sn0.5)P2S12
779,Li10(Ge0.4Sn0.6)P2S12,5.76E-03,0.265,,,Li10(Ge0.4Sn0.6)P2S12
780,Li10(Ge0.3Sn0.7)P2S12,5.56E-03,0.261,,,Li10(Ge0.3Sn0.7)P2S12
781,Li10(Ge0.2Sn0.8)P2S12,4.77E-03,0.269,,,Li10(Ge0.2Sn0.8)P2S12
782,0.5(Li2O) 0.5(P2O5),1.10E-09,0.71,,,Li1.0P1.0O3.0
783,0.58(Li2O) 0.42(P2O5),2.00E-08,0.6,,,Li1.16P0.84O2.68
784,0.6(Li2O) 0.4(P2O5),3.00E-08,0.61,,,Li1.2P0.8O2.6
785,0.63(Li2O) 0.37(P2O5),1.30E-07,0.56,,,Li1.26P0.74O2.48
786,0.66(Li2O) 0.34(P2O5),2.30E-07,0.55,,,Li1.32P0.68O2.3600000000000003
787,0.7(Li2O) 0.3(P2O5),3.00E-07,0.57,,,Li1.4P0.6O2.2
788,0.2(Li2S) 0.8(GeS2),1.10E-07,0.52,,,Li0.4S1.8Ge0.8
789,0.3(Li2S) 0.7(GeS2),9.30E-07,0.48,,,Li0.6S1.7Ge0.7
790,0.4(Li2S) 0.6(GeS2),2.90E-06,0.42,,,Li0.8S1.6Ge0.6
791,0.5(Li2S) 0.5(GeS2),3.30E-05,0.35,,,Li1.0S1.5Ge0.5
792,0.6(Li2S) 0.4(GeS2),9.20E-05,0.32,,,Li1.2S1.4Ge0.4
793,0.63(Li2S) 0.37(GeS2),0.00015,0.34,,,Li1.26S1.37Ge0.37
794,0.66(Li2S) 0.34(GeS2),0.0001,0.37,,,Li1.32S1.34Ge0.34
795,0.7(Li2S) 0.3(GeS2),0.00012,0.34,,,Li1.4S1.2999999999999998Ge0.3
796,Li2O-P2O5,1.10E-09,0.71,,,Li2.0O6.0P2.0
797,0.58Li2O-0.42P2O5,2.00E-08,0.6,,,Li1.16O2.68P0.84
798,0.6Li2O-0.4P2O5,3.00E-08,0.61,,,Li1.2O2.6P0.8
799,0.63Li2O-0.37P2O5,1.30E-07,0.56,,,Li1.26O2.48P0.74
800,0.66Li2O-0.34P2O5,2.30E-07,0.55,,,Li1.32O2.3600000000000003P0.68
801,0.7Li2O-0.3P2O5,3.00E-07,0.57,,,Li1.4O2.2P0.6
802,0.2Li2S-0.8GeS2,1.10E-07,0.52,,,Li0.4S1.8Ge0.8
803,0.3Li2S-0.7GeS2,9.30E-07,0.48,,,Li0.6S1.7Ge0.7
804,0.4Li2S-0.6GeS2,2.90E-06,0.42,,,Li0.8S1.6Ge0.6
805,0.5Li2S-0.5GeS2,3.30E-05,0.35,,,Li1.0S1.5Ge0.5
806,0.6Li2S-0.4GeS2,9.20E-05,0.32,,,Li1.2S1.4Ge0.4
807,0.63Li2S-0.37GeS2,0.00015,0.34,,,Li1.26S1.37Ge0.37
808,0.66Li2S-0.34GeS2,0.0001,0.37,,,Li1.32S1.34Ge0.34
809,0.7Li2S-0.3GeS2,0.00012,0.34,,,Li1.4S1.2999999999999998Ge0.3
810,Li6.55La3Zr2Ga0.15O12,1.30E-03,0.3,,,Li6.55La3Zr2Ga0.15O12
811,Li6.40La3Zr2Ga0.2O12,9.00E-04,0.3,,,Li6.40La3Zr2Ga0.2O12
812,Li6.10La3Zr2Ga0.25O12,7.00E-05,0.3,,,Li6.10La3Zr2Ga0.25O12
813,Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,,,Li6.8La3Zr1.8Sb0.2O12
814,Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,,,Li6.6La3Zr1.6Sb0.4O12
815,Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,,,Li6.4La3Zr1.4Sb0.6O12
816,Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,,,Li6.2La3Zr1.2Sb0.8O12
817,Li6La3ZrSbO12,2.60E-04,0.38,,,Li6La3ZrSbO12
818,Li(In0.62Li1.38)Br3.92,4.90E-06,0.58,,,Li(In0.62Li1.38)Br3.92
819,Li3InBr6,1.77E-04,,,,Li3InBr6
820,Li3InBr4Cl2,7.58E-06,,,,Li3InBr4Cl2
821,Li3InBr3Cl3,1.14E-04,,,,Li3InBr3Cl3
822,Li3InBr2.5Cl3.5,3.60E-06,,,,Li3InBr2.5Cl3.5
823,Li3InBr2Cl4,6.89E-08,,,,Li3InBr2Cl4
824,Li1.8Mg1.1Cl4,1.52E-06,,,,Li1.8Mg1.1Cl4
