id,formula,target,Ea (eV),space group,ICSD Entry,formula_preprocessed
355,Li1.4La0.4Ti1.6(PO4)3,4.98E-04,,167,,Li1.4La0.4Ti1.6(PO4)3
356,Li1.5La0.5Ti1.5(PO4)3,2.81E-04,,167,,Li1.5La0.5Ti1.5(PO4)3
357,Li1.5Fe0.5Ti1.5(PO4)3,1.74E-04,,167,55751,Li1.5Fe0.5Ti1.5(PO4)3
358,Li0.87Hf2.032P3O12,1.29E-05,0.33,167,83501,Li0.87Hf2.032P3O12
359,Li1.2Al0.2Ti1.8(PO4)3,5.95E-04,,167,427621,Li1.2Al0.2Ti1.8(PO4)3
360,Li(Ti1.4Sn0.6)(PO4)3,2.28E-05,0.32,167,183672,Li(Ti1.4Sn0.6)(PO4)3
361,Li(Ti0.6Sn1.4)(PO4)3,9.42E-06,,167,183676,Li(Ti0.6Sn1.4)(PO4)3
362,Li(Ti0.4Sn1.6)(PO4)3,3.15E-06,,167,183677,Li(Ti0.4Sn1.6)(PO4)3
363,Li1.15Y0.15Zr1.85(PO4)3,1.40E-04,0.39,167,191891,Li1.15Y0.15Zr1.85(PO4)3
364,LiZr2(PO4)3,1.00E-09,0.76,167,201935,LiZr2(PO4)3
365,Li1.3(Al0.3Ti1.7)(PO4)3,8.02E-07,,167,253240,Li1.3(Al0.3Ti1.7)(PO4)3
366,Li1.3(Al0.23Ga0.07Ti1.7)(PO4)3,4.46E-06,,167,253241,Li1.3(Al0.23Ga0.07Ti1.7)(PO4)3
367,Li1.3(Al0.23Sc0.07Ti1.7)(PO4)3,1.94E-07,,167,253242,Li1.3(Al0.23Sc0.07Ti1.7)(PO4)3
368,Li1.3(Al0.23Y0.07Ti1.7)(PO4)3,3.84E-08,,167,253243,Li1.3(Al0.23Y0.07Ti1.7)(PO4)3
369,Li1.3Al0.3Ti1.7(PO4)3,7.00E-04,,167,257190,Li1.3Al0.3Ti1.7(PO4)3
370,LiZr2(PO4)3,8.50E-05,,167,,LiZr2(PO4)3
371,Li1.025Y0.025Zr1.975(PO4)3,1.28E-04,,167,,Li1.025Y0.025Zr1.975(PO4)3
372,Li1.05Y0.05Zr1.95(PO4)3,1.30E-04,,167,,Li1.05Y0.05Zr1.95(PO4)3
373,Li1.1Y0.1Zr1.9(PO4)3,1.00E-04,,167,,Li1.1Y0.1Zr1.9(PO4)3
374,Li1.1Al0.1Ge1.9(PO4)3,1.29E-05,,167,,Li1.1Al0.1Ge1.9(PO4)3
375,Li1.2Al0.2Ge1.8(PO4)3,1.89E-05,0.46,167,,Li1.2Al0.2Ge1.8(PO4)3
376,Li1.3Al0.3Ge1.7(PO4)3,1.91E-04,,167,,Li1.3Al0.3Ge1.7(PO4)3
377,Li1.4Al0.4Ge1.6(PO4)3,3.17E-04,0.37,167,,Li1.4Al0.4Ge1.6(PO4)3
378,Li1.5Al0.5Ge1.5(PO4)3,3.45E-04,,167,,Li1.5Al0.5Ge1.5(PO4)3
379,Li1.6Al0.6Ge1.4(PO4)3,3.94E-04,0.37,167,,Li1.6Al0.6Ge1.4(PO4)3
380,Li1.7Al0.7Ge1.3(PO4)3,2.75E-04,,167,,Li1.7Al0.7Ge1.3(PO4)3
381,Li1.8Al0.8Ge1.2(PO4)3,1.23E-04,0.43,167,,Li1.8Al0.8Ge1.2(PO4)3
382,LiGe2(PO4)3,3.12E-09,0.6,167,,LiGe2(PO4)3
383,Li0.86Hf2.035(PO4)3,9.20E-08,0.48,167,,Li0.86Hf2.035(PO4)3
384,Li1.7Al0.3Ti1.6(PO4)3,5.00E-05,,167,,Li1.7Al0.3Ti1.6(PO4)3
385,Li1.2In0.2Ti1.8(PO4)3,8.22E-05,0.32,167,,Li1.2In0.2Ti1.8(PO4)3
386,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,9.72E-04,0.25,167,,Li1.3Al0.2Sc0.1Ti1.7(PO4)3
387,Li1.3Al0.15Sc0.15Ti1.7(PO4)3,1.24E-03,0.23,167,,Li1.3Al0.15Sc0.15Ti1.7(PO4)3
388,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,4.29E-04,0.26,167,,Li1.3Al0.1Sc0.2Ti1.7(PO4)3
389,Li1.3Sc0.3Ti1.7(PO4)3,4.52E-04,0.25,167,,Li1.3Sc0.3Ti1.7(PO4)3
390,Li1.3Al0.3Ti1.7(PO4)3,1.13E-03,0.23,167,257190,Li1.3Al0.3Ti1.7(PO4)3
391,LiTi(PO4)3,6.00E-05,0.33,167,,LiTi(PO4)3
392,Li1.05Al0.05Ti0.95(PO4)3,1.10E-03,0.31,167,,Li1.05Al0.05Ti0.95(PO4)3
393,Li1.1Al0.1Ti0.9(PO4)3,6.70E-04,0.32,167,,Li1.1Al0.1Ti0.9(PO4)3
394,Li1.2Al0.2Ti0.8(PO4)3,4.00E-03,0.31,167,,Li1.2Al0.2Ti0.8(PO4)3
395,Li1.3Al0.3Ti0.7(PO4)3,6.20E-03,0.3,167,,Li1.3Al0.3Ti0.7(PO4)3
