,formula_unedited,formula,space group,target
522,Fe0.19La2.95Li5.57Zr2O12,Fe0.19La2.95Li5.57Zr2O12,220.0,-2.8601209135987635
47,0.9(0.6Li2S-0.4SiS2)- 0.1Li4SiO4,Li1.48S1.34Si0.5O0.4,,-3.3608520069109526
588,Li5.5Ba0.5La2.5Ta2O12,Li5.5Ba0.5La2.5Ta2O12,230.0,-4.869666231504994
19,0.63(Li2S) 0.37(GeS2),Li1.26S1.37Ge0.37,,-3.8239087409443187
891,0.28SiS2-0.42Li2S-0.30LiI,I0.3Li1.14S0.98Si0.28,,-2.744727494896694
1016,0.1LiI-0.9(0.5Li2S-0.5SiS2),LiI0.1S1.45Si0.5,,-4.399027104313252
314,Li1.4Ti1.6Sc0.4(PO4)3,Li1.4Ti1.6Sc0.4P3O12,167.0,-3.701146923590293
840,Li5(OH)3Cl2,Li5O3H3Cl2,,-7.598599459218456
767,Li10(Ge0.9Si0.1)P2S12,Li10Ge0.9Si0.1P2S12,,-2.0931264652779293
691,La3Zr2Ga0.5Li5.5O12,La3Zr2Ga0.5Li5.5O12,230.0,-4.0
1116,0.3Li2S-0.45Li2O-0.25P2S5,Li1.5O0.45P0.5S1.55,,-4.230622673923862
1229,0.9LiTi2(PO4)3-0.1Li3PO4,Li1.2000000000000002Ti1.8P2.8000000000000003O11.200000000000001,,-3.8601209135987635
353,Li1.3La0.3Ti1.7(PO4)3,Li1.3La0.3Ti1.7P3O12,167.0,-3.281498311132726
74,LiBaP2O7,LiBaP2O7,15.0,-10.0
60,0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,Li1.65S1.25Si0.4B0.25O0.75,,-4.148444628573557
1023,0.75Li6Si2S7-0.25Li6B4O9,Li6Si1.5S5.25BO2.25,,-3.8477116556169433
238,Li3.3Sn0.3P0.7S4,Li3.3Sn0.3P0.7S4,137.0,-2.4377071355435254
1213,0.5LiI-0.5Al2O3,Li0.5I0.5AlO1.5,,-4.58838029403677
834,Li2OHBr0.99F0.01,Li2OHBr0.99F0.01,,-6.03810452633215
107,Li6.6La3Zr1.6Ta0.4O12,Li6.6La3Zr1.6Ta0.4O12,230.0,-3.2301193614453427
985,0.75(0.3Li2O-0.7Li2S)-0.25P2S5,Li1.85O0.225S1.95P0.5,,-4.051098239029787
1326,Li1.1Sc0.1Ti1.9(PO4)3,Li1.1Sc0.1Ti1.9P3O12,,-4.756961951313706
686,Li6.24La3Zr2Al0.24O11.98,Li6.24La3Zr2Al0.24O11.98,230.0,-3.3979400086720375
1097,0.2Li2S-0.6Li2O-0.2P2S5,Li1.6O0.6P0.4S1.2,,-4.539102157243452
99,Li5La3Nb2O12,Li5La3Nb2O12,199.0,-4.980422053166251
145,Li4SnS4,Li4SnS4,62.0,-4.154901959985743
154,Li2.5Y0.5Zr0.5Cl6,Li2.5Y0.5Zr0.5Cl6,62.0,-2.853871964321762
546,La0.61Li0.15TiO3,La0.61Li0.15TiO3,221.0,-3.6861327796308467
471,Li6.3P0.7Si0.3S5Br,Li6.3P0.7Si0.3S5Br,216.0,-2.7825160557860937
443,Li3AlN2,Li3AlN2,206.0,-7.301029995663981
400,Li1.05Fe0.05Ti0.95(PO4)3,Li1.05Fe0.05Ti0.95P3O12,167.0,-3.886056647693163
355,Li1.5La0.5Ti1.5(PO4)3,Li1.5La0.5Ti1.5P3O12,167.0,-3.55129368009492
81,Li3SbS4,Li3SbS4,31.0,-5.823908740944319
12,0.2(Li2S) 0.8(GeS2),Li0.4S1.8Ge0.8,,-6.958607314841775
760,Li6.62La3Zr1.62Nb0.38O12,Li6.62La3Zr1.62Nb0.38O12,,-3.3555614105321614
85,Li3.6Ge0.6P0.4S4,Li3.6Ge0.6P0.4S4,11.0,-3.758206351515553
1087,Li3.25Ge0.25P0.75S3.5Se0.5,Li3.25Ge0.25P0.75S3.5Se0.5,,-3.2984320149440727
