,formula_unedited,formula,space group,target
55,Li1.5Cr0.5Ti1.5(PO4)3,Li1.5Cr0.5Ti1.5P3O12,167.0,-3.558373752533357
56,0.75Li2O-0.25P2S5,Li1.5O0.75P0.5S1.25,,-4.777197898363201
57,0.75Li2S-0.25P2S5,Li1.5S2P0.5,,-3.6166358426745724
58,Li1.5Sc0.5Ti1.5(PO4)3,Li1.5Sc0.5Ti1.5P3O12,167.0,-4.9314400961428975
59,0.85(0.6Li2S-0.4SiS2)- 0.15Li4GeO4,Li1.62S1.31Si0.4Ge0.15O0.6,,-3.9430951486635273
60,0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,Li1.65S1.25Si0.4B0.25O0.75,,-4.148444628573557
61,Li1.6Al0.6Ge1.4(PO4)3,Li1.6Al0.6Ge1.4P3O12,167.0,-3.475592719063694
62,0.8Li2S-0.2P2S5,Li1.6S1.8P0.4,,-3.5154741280128174
63,0.7(0.6Li2S-0.4SiS2)- 0.3Li3PO4,Li1.74S1.22Si0.4P0.3O1.2,,-4.681936665037238
64,0.8(0.6Li2S-0.4SiS2)- 0.2Li4SiO4,Li1.76S1.28Si0.6O0.8,,-3.7932076356377955
65,Li1.7Al0.7Ge1.3(PO4)3,Li1.7Al0.7Ge1.3P3O12,167.0,-3.6098110706246693
66,Li1.8Al0.8Ge1.2(PO4)3,Li1.8Al0.8Ge1.2P3O12,167.0,-3.8866871607020976
67,0.6(0.6Li2S-0.4SiS2)- 0.4Li3PO4,Li1.92S1.16Si0.4P0.4O1.6,,-5.273272790973428
68,Li10.05Ge1.05P1.95S12,Li10.05Ge1.05P1.95S12,137.0,-1.9083650781585977
69,Li10.2Ge1.2P1.8S12,Li10.2Ge1.2P1.8S12,137.0,-1.8729435802119663
70,Li10.2(Sn0.2Si0.8)1.2P1.8S12,Li10.2Sn0.24Si0.96P1.8S12,137.0,-2.338520483468872
71,Li10.35Ge1.35P1.65S12,Li10.35Ge1.35P1.65S12,137.0,-1.8462091976246853
72,Li10.35Si1.35P1.65S12,Li10.35Si1.35P1.65S12,137.0,-2.1811550904407992
73,Li10.35(Sn0.2Si0.8)1.35P1.65S12,Li10.35Sn0.27Si1.08P1.65S12,137.0,-2.4625917796774126
74,Li10.5Ge1.5P1.5S12,Li10.5Ge1.5P1.5S12,137.0,-1.9605904084505759
75,Li10GeP2S12,Li10GeP2S12,137.0,-2.118558446946293
76,Li10SnP2S12,Li10SnP2S12,137.0,-2.3309086744851935
77,Li3.2Ge0.2P0.8S4,Li3.2Ge0.2P0.8S4,11.0,-3.2549259108517976
78,Li3.2Si0.2P0.8S4,Li3.2Si0.2P0.8S4,11.0,-5.505275091166654
79,Li3.35Ge0.35P0.65S4,Li3.35Ge0.35P0.65S4,11.0,-2.813893924172969
80,Li3.3Ge0.3P0.7S4,Li3.3Ge0.3P0.7S4,11.0,-2.756969041951625
81,Li3.3Si0.3P0.7S4,Li3.3Si0.3P0.7S4,11.0,-4.99920236490337
82,Li3.4Ge0.4P0.6S4,Li3.4Ge0.4P0.6S4,11.0,-3.1847545352003293
83,Li3.4Si0.4P0.6S4,Li3.4Si0.4P0.6S4,11.0,-2.914205072641421
84,Li3.5P0.5Si0.5O4,Li3.5P0.5Si0.5O4,11.0,-5.954337141109214
