id,formula,target,balanced_charge,Ea (eV),space group,ICSD Entry,formula_preprocessed
125,Li3.6Si0.6Al0.4S4,3.06E-08,1,0.52,62.0,,Li3.6Si0.6Al0.4S4
126,Li3.4Si0.4Al0.6S4,1.45E-08,1,0.52,62.0,,Li3.4Si0.4Al0.6S4
127,Li3.2Si0.2Al0.8S4,2.28E-07,1,0.52,62.0,,Li3.2Si0.2Al0.8S4
128,Li4Zn(PO4)2,<1E-10,1,1.1,62.0,255465.0,Li4Zn(PO4)2
129,Li3.5Zn0.5Ga0.5(PO4)2,<1E-10,1,1.02,62.0,255468.0,Li3.5Zn0.5Ga0.5(PO4)2
130,Li3PS4,1.60E-04,1,0.36,62.0,180319.0,Li3PS4
131,Li3PO4,<1E-10,1,1.14,62.0,20208.0,Li3PO4
132,Li3PS4,3.00E-07,1,,62.0,35018.0,Li3PS4
133,Li2.88PO3.73N0.14,1.40E-13,1,0.97,62.0,79426.0,Li2.88PO3.73N0.14
134,Li3PO4,4.20E-18,1,1.24,62.0,79427.0,Li3PO4
135,Li4GeS4,2.00E-07,1,0.53,62.0,92200.0,Li4GeS4
136,Li14Zn(GeO4)4,1.00E-06,1,0.24,62.0,100169.0,Li14Zn(GeO4)4
137,Li3.75Ge0.75V0.25O4,5.66E-06,1,,62.0,150918.0,Li3.75Ge0.75V0.25O4
138,Li3.70Ge0.85W0.15O4,3.80E-05,1,,62.0,150920.0,Li3.70Ge0.85W0.15O4
139,Li0.2Ca0.4TaO3,3.53E-09,1,0.54,62.0,151936.0,Li0.2Ca0.4TaO3
140,Li0.2(Ca0.36Sr0.04)TaO3,9.20E-09,1,,62.0,151937.0,Li0.2(Ca0.36Sr0.04)TaO3
141,Li2Mg2(MoO4)3,<1E-10,1,0.71,62.0,170956.0,Li2Mg2(MoO4)3
142,Li4SnSe4,2.00E-05,1,0.45,62.0,193768.0,Li4SnSe4
143,Li(BH4),1.00E-08,1,,62.0,239763.0,Li(BH4)
144,LiZnSO4F,2.80E-05,1,0.2455,62.0,261343.0,LiZnSO4F
145,Li4GeS4,2.00E-07,1,0.53,62.0,290831.0,Li4GeS4
146,Li4SnS4,7.00E-05,1,0.29,62.0,290832.0,Li4SnS4
147,Li2ZnI4,4.00E-08,1,0.58,62.0,402062.0,Li2ZnI4
148,Pr0.53Li0.41TiO3,8.40E-08,1,0.462,62.0,,Pr0.53Li0.41TiO3
149,Pr0.54Li0.38TiO3,1.18E-06,1,0.452,62.0,,Pr0.54Li0.38TiO3
150,Pr0.55Li0.35TiO3,1.51E-06,1,0.441,62.0,,Pr0.55Li0.35TiO3
151,Pr0.56Li0.32TiO3,1.91E-06,1,0.437,62.0,,Pr0.56Li0.32TiO3
152,Pr0.57Li0.29TiO3,2.86E-06,1,0.429,62.0,,Pr0.57Li0.29TiO3
153,Pr0.58Li0.26TiO3,3.87E-06,1,0.421,62.0,,Pr0.58Li0.26TiO3
154,Pr0.59Li0.23TiO3,3.40E-06,1,0.425,62.0,,Pr0.59Li0.23TiO3
155,Li2.5Y0.5Zr0.5Cl6,1.40E-03,1,0.33,62.0,,Li2.5Y0.5Zr0.5Cl6
156,Li2.633Er0.633Zr0.367Cl6,1.10E-03,1,0.35,62.0,,Li2.633Er0.633Zr0.367Cl6
157,Li3.33Ge0.33V0.67O4,6.94E-06,1,,62.0,,Li3.33Ge0.33V0.67O4
158,Li3.6Ge0.6V0.4O4,1.97E-05,1,0.44,62.0,,Li3.6Ge0.6V0.4O4
159,Li3.75Ge0.75V0.25O4,1.08E-05,1,,62.0,,Li3.75Ge0.75V0.25O4
160,Li3.5Ge0.5V0.5O4,1.77E-05,1,,62.0,66576.0,Li3.5Ge0.5V0.5O4
161,Li3.87Sn0.87As0.13S4,1.48E-05,1,0.39,62.0,,Li3.87Sn0.87As0.13S4
162,Li3.855Sn0.855As0.145S4,1.31E-04,1,0.35,62.0,,Li3.855Sn0.855As0.145S4
163,Li3.85Sn0.85As0.15S4,2.08E-04,1,0.31,62.0,,Li3.85Sn0.85As0.15S4
164,Li3.84Sn0.84As0.16S4,5.85E-04,1,0.29,62.0,,Li3.84Sn0.84As0.16S4
165,Li3.83Sn0.83As0.17S4,1.39E-03,1,0.21,62.0,,Li3.83Sn0.83As0.17S4
166,Li3.825Sn0.825As0.175S4,5.18E-04,1,0.27,62.0,,Li3.825Sn0.825As0.175S4
167,Li3.82Sn0.82As0.18S4,2.83E-04,1,0.35,62.0,,Li3.82Sn0.82As0.18S4
168,Li3.8Sn0.8As0.2S4,1.06E-04,1,0.4,62.0,,Li3.8Sn0.8As0.2S4
169,Li3.75Sn0.75As0.25S4,3.69E-06,1,0.48,62.0,,Li3.75Sn0.75As0.25S4
170,Nd0.54Li0.36TiO3,3.42E-08,1,0.5,62.0,81047.0,Nd0.54Li0.36TiO3
171,Pr0.51Li0.39TiO2.96,5.34E-07,1,0.44,62.0,81048.0,Pr0.51Li0.39TiO2.96
172,Sm0.52Li0.38TiO2.97,2.00E-07,1,0.64,62.0,,Sm0.52Li0.38TiO2.97
173,Li4GeO4,2.80E-10,1,0.73,63.0,18096.0,Li4GeO4
174,LiCl*H2O,1.00E-08,1,0.777,63.0,281198.0,LiCl*H2O
175,Li2MgBr4,7.80E-10,1,0.77,65.0,73276.0,Li2MgBr4
176,Li0.22La0.60TiO3,4.80E-04,1,0.391,65.0,,Li0.22La0.60TiO3
177,Li0.18La0.61TiO3,2.00E-04,1,0.432,65.0,99398.0,Li0.18La0.61TiO3
178,LiBiO2,3.80E-08,1,0.1,72.0,46022.0,LiBiO2
179,Li2.5Zn0.25PS4,8.40E-04,1,,82.0,,Li2.5Zn0.25PS4
180,LiZnPS4,5.40E-08,1,,82.0,95785.0,LiZnPS4
181,Li2Zn0.5PS4,1.30E-04,1,0.22,82.0,264462.0,Li2Zn0.5PS4
182,(Li1.69Zn0.66)PS4,1.30E-04,1,0.181,82.0,264462.0,(Li1.69Zn0.66)PS4
183,Li1.5Zn0.75PS4,1.65E-05,1,0.25,82.0,264463.0,Li1.5Zn0.75PS4
184,(Li1.19Zn0.9)PS4,6.50E-06,1,0.25,82.0,264463.0,(Li1.19Zn0.9)PS4
185,(Li0.5Ce0.5)(MoO4),1.30E-08,1,0.4,88.0,186450.0,(Li0.5Ce0.5)(MoO4)
186,(Li0.5Ce0.25Pr0.25)(MoO4),1.00E-09,1,0.5,88.0,186451.0,(Li0.5Ce0.25Pr0.25)(MoO4)
187,(Li0.5Ce0.25Sm0.25)(MoO4),1.80E-10,1,0.5,88.0,186452.0,(Li0.5Ce0.25Sm0.25)(MoO4)
188,Li2TeO4,<1E-10,1,1.129,91.0,1485.0,Li2TeO4
189,Li3BN2,1.60E-10,1,0.67,94.0,655673.0,Li3BN2
190,Li2B4O7,1.00E-10,1,,110.0,65930.0,Li2B4O7
191,LiY(BH4)4,1.26E-06,1,,112.0,239762.0,LiY(BH4)4
192,LiPN2,1.60E-07,1,0.4,122.0,66007.0,LiPN2
193,La0.565Li0.305TiO3,9.57E-04,1,,123.0,92235.0,La0.565Li0.305TiO3
194,La0.5Li0.5TiO3,9.25E-04,1,0.39,123.0,92236.0,La0.5Li0.5TiO3
195,Li0.33La0.5TiO3,1.00E-03,1,0.15,123.0,82671.0,Li0.33La0.5TiO3
196,Li0.27La0.57TiO3,3.40E-04,1,0.38,123.0,,Li0.27La0.57TiO3
197,La0.61Li0.18TiO3,4.12E-04,1,,123.0,,La0.61Li0.18TiO3
198,La0.55Li0.36TiO3,6.88E-04,1,0.35,123.0,,La0.55Li0.36TiO3
199,La0.54Li0.39TiO3,6.51E-04,1,,123.0,,La0.54Li0.39TiO3
200,La0.52Li0.45TiO3,5.01E-04,1,,123.0,50434.0,La0.52Li0.45TiO3
201,La0.58Li0.27TiO3,5.99E-04,1,,123.0,82672.0,La0.58Li0.27TiO3
202,La0.56Li0.33TiO3,6.68E-04,1,,123.0,504435.0,La0.56Li0.33TiO3
203,Li0.31La0.63TiO3,4.11E-04,1,,123.0,,Li0.31La0.63TiO3
204,Li0.39La0.59TiO3,8.83E-04,1,,123.0,,Li0.39La0.59TiO3
205,Li0.49La0.55TiO3,9.39E-04,1,,123.0,,Li0.49La0.55TiO3
206,Li0.68La0.49TiO3,1.03E-03,1,,123.0,,Li0.68La0.49TiO3
207,Li0.24La0.65TiO3,9.57E-04,1,,123.0,,Li0.24La0.65TiO3
208,Li0.33La0.58TiO3,8.93E-04,1,,123.0,,Li0.33La0.58TiO3
209,Li0.36La0.55TiO3,9.34E-04,1,,123.0,,Li0.36La0.55TiO3
210,Li0.42La0.52TiO3,8.47E-04,1,,123.0,,Li0.42La0.52TiO3
211,Li0.29La0.57TiO3,4.40E-05,1,0.453,123.0,,Li0.29La0.57TiO3
212,La0.56Li0.33TiO3,1.65E-04,1,0.41,123.0,,La0.56Li0.33TiO3
213,La0.56Li0.33TiO3-5wt% Al2O3,0.000166,0,0.24,123.0,,La0.30Li0.17Ti0.53O1.73Al0.10?
214,La0.56Li0.33TiO3-10wt% Al2O3,0.000933,0,0.17,123.0,,La0.28Li0.16Ti0.50O1.79Al0.20?
215,La0.56Li0.33TiO3-15wt% Al2O3,9.56E-05,0,0.5,123.0,,La0.26Li0.16Ti0.47O1.86Al0.29?
216,Li(LaTiO4),<1E-10,1,0.83,129.0,91843.0,Li(LaTiO4)
217,Li(NdTiO4),<1E-10,1,0.87,129.0,91844.0,Li(NdTiO4)
218,La0.65Li0.05(Mg0.5W0.5)O3,1.80E-07,1,0.46,129.0,151900.0,La0.65Li0.05(Mg0.5W0.5)O3
219,La0.63Li0.11(Mg0.5W0.5)O3,6.80E-06,1,0.38,129.0,151901.0,La0.63Li0.11(Mg0.5W0.5)O3
220,La0.62 Li0.14(Mg0.5W0.5)O3,1.20E-05,1,0.37,129.0,151902.0,La0.62 Li0.14(Mg0.5W0.5)O3
221,Li4PS4I,1.20E-04,1,0.37,129.0,432169.0,Li4PS4I
222,Li9.75Sn0.75P2.25S12,3.57E-03,1,,137.0,,Li9.75Sn0.75P2.25S12
223,Li6ZnO4,9.40E-09,1,0.61,137.0,62137.0,Li6ZnO4
224,Li9.42Si1.02P2.1S9.96O2.04,1.10E-04,1,0.238,137.0,,Li9.42Si1.02P2.1S9.96O2.04
225,Li9.54Si1.74P1.44S11.7Cl0.3,2.53E-02,1,0.238,137.0,,Li9.54Si1.74P1.44S11.7Cl0.3
226,Li10GeP2S11.7O0.3,1.15E-02,1,0.155,137.0,,Li10GeP2S11.7O0.3
227,Li10(Si0.5Sn0.5)P2S12,4.28E-03,1,0.29,137.0,,Li10(Si0.5Sn0.5)P2S12
228,Li9P3S9O3,4.27E-05,1,0.311,137.0,,Li9P3S9O3
229,Li10.05Ge1.05P1.95S12,1.22E-02,1,0.28,137.0,,Li10.05Ge1.05P1.95S12
230,Li10.2Ge1.2P1.8S12,1.32E-02,1,,137.0,,Li10.2Ge1.2P1.8S12
231,Li10.5Ge1.5P1.5S12,1.10E-02,1,,137.0,,Li10.5Ge1.5P1.5S12
232,Li10GePS12,1.21E-02,1,,137.0,188887.0,Li10GePS12
233,Li10.35Ge1.35P1.65S12,1.44E-02,1,0.269,137.0,193947.0,Li10.35Ge1.35P1.65S12
234,Li3.475Si0.475P0.525S4,5.27E-03,1,,137.0,,Li3.475Si0.475P0.525S4
235,Li3.45Si0.45P0.55S4,6.73E-03,1,0.27,137.0,,Li3.45Si0.45P0.55S4
236,Li3.425Si0.425P0.575S4,5.65E-03,1,,137.0,,Li3.425Si0.425P0.575S4
237,Li3.4Si0.4P0.6S4,4.21E-03,1,,137.0,,Li3.4Si0.4P0.6S4
238,Li3.335Sn0.33P0.67S4,3.73E-03,1,,137.0,,Li3.335Sn0.33P0.67S4
239,Li3.3Sn0.3P0.7S4,3.65E-03,1,,137.0,,Li3.3Sn0.3P0.7S4
240,Li3.285Sn0.28P0.72S4,4.36E-03,1,,137.0,,Li3.285Sn0.28P0.72S4
241,Li3.27Sn0.27P0.73S4,4.96E-03,1,,137.0,,Li3.27Sn0.27P0.73S4
242,Li3.26Sn0.26P0.74S4,4.53E-03,1,,137.0,,Li3.26Sn0.26P0.74S4
243,Li3.25Sn0.25P0.75S4,3.60E-03,1,,137.0,,Li3.25Sn0.25P0.75S4
244,Li10SiP2S12,2.30E-03,1,0.196,137.0,,Li10SiP2S12
245,Li10SnP2S12,7.00E-03,1,0.27,137.0,193755.0,Li10SnP2S12
246,Li10GeP2S12,2.46E-02,1,0.274,137.0,241439.0,Li10GeP2S12
247,Li10(Ge0.776Sn0.224)P2S12,1.41E-02,1,0.276,137.0,255748.0,Li10(Ge0.776Sn0.224)P2S12
248,Li10SnP2S12,3.98E-03,1,0.305,137.0,255750.0,Li10SnP2S12
249,Li10(Ge0.416Sn0.584)P2S12,7.43E-03,1,0.285,137.0,255757.0,Li10(Ge0.416Sn0.584)P2S12
250,Li10.35Si1.35P1.65S12,6.50E-03,1,,137.0,252037.0,Li10.35Si1.35P1.65S12
251,Li9.81Sn0.81P2.19S12,5.50E-03,1,,137.0,252040.0,Li9.81Sn0.81P2.19S12
252,Li10GeP2S12,1.20E-02,1,0.25,137.0,255749.0,Li10GeP2S12
253,Li10.2Si1.2P1.8S12,4.16E-03,1,,137.0,,Li10.2Si1.2P1.8S12
254,Li10.275Si1.275P1.725S12,5.61E-03,1,,137.0,,Li10.275Si1.275P1.725S12
255,Li10.35Si1.35P1.65S12,6.68E-03,1,,137.0,,Li10.35Si1.35P1.65S12
256,Li10.425Si1.425P1.575S12,5.22E-03,1,,137.0,,Li10.425Si1.425P1.575S12
257,Li10GeP2S12,1.21E-02,1,,137.0,,Li10GeP2S12
258,Li10.05Ge1.05P1.95S12,1.25E-02,1,,137.0,,Li10.05Ge1.05P1.95S12
259,Li10.2Ge1.2P1.8S12,1.36E-02,1,,137.0,,Li10.2Ge1.2P1.8S12
260,Li10.35Ge1.35P1.65S12,1.41E-02,1,,137.0,,Li10.35Ge1.35P1.65S12
261,Li10.5Ge1.5P1.5S12,1.09E-02,1,,137.0,,Li10.5Ge1.5P1.5S12
262,Li9.79Sn0.79P2.21S12,4.56E-03,1,,137.0,,Li9.79Sn0.79P2.21S12
263,Li9.81Sn0.81P2.19S12,4.98E-03,1,,137.0,,Li9.81Sn0.81P2.19S12
264,Li9.87Sn0.87P2.13S12,4.32E-03,1,,137.0,,Li9.87Sn0.87P2.13S12
265,Li9.9Sn0.9P2.1S12,3.66E-03,1,,137.0,,Li9.9Sn0.9P2.1S12
266,Li10SnP2S12,3.65E-03,1,,137.0,,Li10SnP2S12
267,Li10.2(Sn0.2Si0.8)1.2P1.8S12,7.82E-03,1,,137.0,5667.0,Li10.2(Sn0.2Si0.8)1.2P1.8S12
268,Li10.5(Sn0.2Si0.8)1.5P1.5S12,8.79E-03,1,,137.0,5668.0,Li10.5(Sn0.2Si0.8)1.5P1.5S12
269,Li10.35(Sn0.2Si0.8)1.35P1.65S12,1.08E-02,1,,137.0,5669.0,Li10.35(Sn0.2Si0.8)1.35P1.65S12
270,Li10.35(Sn0.27Si1.08)P1.65S12,1.10E-03,1,0.197,137.0,257946.0,Li10.35(Sn0.27Si1.08)P1.65S12
271,Li10.2(Sn0.2Si0.8)1.2P1.8S12,2.69E-03,1,,137.0,257948.0,Li10.2(Sn0.2Si0.8)1.2P1.8S12
272,Li10GeP2S12,1.43E-03,1,0.24,137.0,,Li10GeP2S12
273,Li9.8Ba0.1GeP2S12,5.61E-04,1,,137.0,,Li9.8Ba0.1GeP2S12
274,Li9.6Ba0.2GeP2S12,5.72E-04,1,,137.0,,Li9.6Ba0.2GeP2S12
275,Li9.4Ba0.3GeP2S12,7.07E-04,1,0.29,137.0,,Li9.4Ba0.3GeP2S12
276,Li9.2Ba0.4GeP2S12,3.16E-04,1,,137.0,,Li9.2Ba0.4GeP2S12
277,Li9Ba0.5GeP2S12,9.98E-05,1,,137.0,,Li9Ba0.5GeP2S12
278,Li10GeP2S12,5.00E-03,1,0.35,137.0,,Li10GeP2S12
279,LiLaNb2O7,<1E-8,1,,139.0,72566.0,LiLaNb2O7
280,Li4Sr3Nb5.77Fe0.23O19.77,<1E-10,1,,139.0,87823.0,Li4Sr3Nb5.77Fe0.23O19.77
281,Li4Sr3Nb6O20,<1E-10,1,,139.0,87824.0,Li4Sr3Nb6O20
282,Li4Sr3.056Nb6O20,<1E-10,1,0.74,139.0,109168.0,Li4Sr3.056Nb6O20
283,LiScO2,1.00E-12,1,0.87,141.0,36124.0,LiScO2
284,LiAlO2,1.10E-12,1,0.97,141.0,99517.0,LiAlO2
285,Li3BN2,8.70E-08,1,0.55,141.0,155126.0,Li3BN2
286,Li4SrN2,2.30E-13,1,0.9,141.0,87413.0,Li4SrN2
287,LiScO2,<1E-10,1,1.047,141.0,257819.0,LiScO2
288,Li0.9Sc0.9Zr0.1O2,<1E-10,1,0.912,141.0,257820.0,Li0.9Sc0.9Zr0.1O2
289,Li7La3HfO12,9.85E-07,1,0.53,142.0,174202.0,Li7La3HfO12
290,Li7La3Zr2O12,1.63E-06,1,0.54,142.0,183684.0,Li7La3Zr2O12
291,Li7La3Zr2O12,5.00E-07,1,0.59,142.0,,Li7La3Zr2O12
292,Li7La3Zr2O12,9.90E-06,1,0.43,142.0,238687.0,Li7La3Zr2O12
293,LiGaSiO4,3.00E-16,1,0.9,146.0,65125.0,LiGaSiO4
294,LiGa0.5Al0.5GeO4,<1E-10,1,1.06,146.0,257740.0,LiGa0.5Al0.5GeO4
295,LiAlGeO4,<1E-10,1,0.97,146.0,257741.0,LiAlGeO4
296,LiGaGeO4,<1E-10,1,1.12,148.0,257739.0,LiGaGeO4
297,LiTi2(PO4)3,1.61E-04,1,0.21,148.0,,LiTi2(PO4)3
298,Li1.2Ti1.8Al0.2(PO4)3,4.82E-03,1,0.18,148.0,,Li1.2Ti1.8Al0.2(PO4)3
299,LiNaSO4,8.80E-10,1,,159.0,14364.0,LiNaSO4
300,Li3.333Mg0.333P2S6,8.20E-08,1,0.517,162.0,95606.0,Li3.333Mg0.333P2S6
301,Li2.667Mg0.667P2S6,4.00E-06,1,0.46,162.0,95607.0,Li2.667Mg0.667P2S6
302,Li4P2S6,2.38E-07,1,0.29,162.0,242170.0,Li4P2S6
303,Li4P2S6,1.60E-10,1,0.48,162.0,,Li4P2S6
304,Li3YCl6,5.39E-04,1,0.4,164.0,,Li3YCl6
305,Li3ErCl6,3.30E-04,1,0.41,164.0,50151.0,Li3ErCl6
306,Li4.4Al0.4Ge0.6S4,4.33E-05,1,0.38,164.0,235201.0,Li4.4Al0.4Ge0.6S4
307,Li4.4Al0.4Sn0.6S4,3.60E-06,1,0.15,164.0,235207.0,Li4.4Al0.4Sn0.6S4
308,Li5NCl2,1.20E-06,1,0.5,166.0,84763.0,Li5NCl2
309,LiHf2(PO4)3,2.83E-07,1,,167.0,,LiHf2(PO4)3
310,LiZr2(PO4)3,2.96E-10,1,,167.0,201935.0,LiZr2(PO4)3
311,LiGe2(PO4)3,3.33E-07,1,,167.0,263767.0,LiGe2(PO4)3
312,Li1.1Ti1.9Sc0.1(PO4)3,3.89E-04,1,0.3,167.0,,Li1.1Ti1.9Sc0.1(PO4)3
313,Li1.2Ti1.8Sc0.2(PO4)3,2.51E-03,1,0.25,167.0,,Li1.2Ti1.8Sc0.2(PO4)3
314,Li1.3Ti1.7Sc0.3(PO4)3,7.91E-04,1,0.28,167.0,,Li1.3Ti1.7Sc0.3(PO4)3
315,Li1.4Ti1.6Sc0.4(PO4)3,1.99E-04,1,0.31,167.0,,Li1.4Ti1.6Sc0.4(PO4)3
316,Li1.5Ti1.5Sc0.5(PO4)3,9.74E-05,1,0.32,167.0,,Li1.5Ti1.5Sc0.5(PO4)3
317,LiTi2(PO4)3,7.61E-06,1,0.38,167.0,95979.0,LiTi2(PO4)3
318,LiGe2(PO4)3,4.83E-09,1,0.654,167.0,69763.0,LiGe2(PO4)3
319,Li1.2Al0.2Ge1.8(PO4)3,4.83E-05,1,0.387,167.0,263760.0,Li1.2Al0.2Ge1.8(PO4)3
320,Li1.4Al0.4Ge1.6(PO4)3,1.88E-04,1,0.407,167.0,263762.0,Li1.4Al0.4Ge1.6(PO4)3
321,Li1.5Al0.5Ge1.5(PO4)3,3.36E-04,1,0.426,167.0,263763.0,Li1.5Al0.5Ge1.5(PO4)3
322,Li1.7Al0.7Ge1.3(PO4)3,2.64E-04,1,0.45,167.0,263765.0,Li1.7Al0.7Ge1.3(PO4)3
323,Li1.8Al0.8Ge1.2(PO4)3,1.37E-04,1,0.429,167.0,263766.0,Li1.8Al0.8Ge1.2(PO4)3
324,LiTi2(PO4)3,1.00E-04,1,,167.0,,LiTi2(PO4)3
325,Li1.2Ti2Si0.2P2.8O12,8.60E-05,1,,167.0,,Li1.2Ti2Si0.2P2.8O12
326,Li1.3Ti2Si0.3P2.7O12,3.20E-04,1,,167.0,,Li1.3Ti2Si0.3P2.7O12
327,Li1.4Ti2Si0.4P2.6O12,1.50E-04,1,,167.0,,Li1.4Ti2Si0.4P2.6O12
328,Li1.5Ti2Si0.5P2.5O12,9.60E-05,1,,167.0,,Li1.5Ti2Si0.5P2.5O12
329,Li1.3Al0.3Ti1.7(PO4)3,3.00E-03,1,,167.0,,Li1.3Al0.3Ti1.7(PO4)3
330,Li1.4Al0.4Ti1.6(PO4)3,3.88E-04,1,,167.0,,Li1.4Al0.4Ti1.6(PO4)3
331,Li1.5Al0.5Ti1.5(PO4)3,2.48E-04,1,,167.0,,Li1.5Al0.5Ti1.5(PO4)3
332,Li1.2Cr0.2Ti1.8(PO4)3,1.82E-05,1,,167.0,,Li1.2Cr0.2Ti1.8(PO4)3
333,Li1.3Cr0.3Ti1.7(PO4)3,3.51E-05,1,,167.0,,Li1.3Cr0.3Ti1.7(PO4)3
334,Li1.4Cr0.4Ti1.6(PO4)3,1.49E-04,1,,167.0,,Li1.4Cr0.4Ti1.6(PO4)3
335,Li1.5Cr0.5Ti1.5(PO4)3,3.86E-04,1,,167.0,,Li1.5Cr0.5Ti1.5(PO4)3
336,Li1.6Cr0.6Ti1.4(PO4)3,1.26E-04,1,,167.0,,Li1.6Cr0.6Ti1.4(PO4)3
337,Li1.7Cr0.7Ti1.3(PO4)3,8.05E-06,1,,167.0,,Li1.7Cr0.7Ti1.3(PO4)3
338,Li1.2Ga0.2Ti1.8(PO4)3,1.62E-04,1,,167.0,,Li1.2Ga0.2Ti1.8(PO4)3
339,Li1.3Ga0.3Ti1.7(PO4)3,2.61E-04,1,,167.0,,Li1.3Ga0.3Ti1.7(PO4)3
340,Li1.4Ga0.4Ti1.6(PO4)3,1.28E-04,1,,167.0,,Li1.4Ga0.4Ti1.6(PO4)3
341,Li1.5Ga0.5Ti1.5(PO4)3,1.22E-04,1,,167.0,,Li1.5Ga0.5Ti1.5(PO4)3
342,Li1.2Fe0.2Ti1.8(PO4)3,1.80E-04,1,,167.0,,Li1.2Fe0.2Ti1.8(PO4)3
343,Li1.3Fe0.3Ti1.7(PO4)3,2.46E-04,1,,167.0,,Li1.3Fe0.3Ti1.7(PO4)3
344,Li1.4Fe0.4Ti1.6(PO4)3,3.92E-04,1,,167.0,,Li1.4Fe0.4Ti1.6(PO4)3
345,Li1.2Sc0.2Ti1.8(PO4)3,6.90E-04,1,,167.0,,Li1.2Sc0.2Ti1.8(PO4)3
346,Li1.3Sc0.3Ti1.7(PO4)3,7.03E-04,1,,167.0,,Li1.3Sc0.3Ti1.7(PO4)3
347,Li1.4Sc0.4Ti1.6(PO4)3,5.15E-04,1,,167.0,,Li1.4Sc0.4Ti1.6(PO4)3
348,Li1.5Sc0.5Ti1.5(PO4)3,2.53E-04,1,,167.0,,Li1.5Sc0.5Ti1.5(PO4)3
349,Li1.2In0.2Ti1.8(PO4)3,3.90E-04,1,,167.0,,Li1.2In0.2Ti1.8(PO4)3
350,Li1.3In0.3Ti1.7(PO4)3,3.93E-04,1,,167.0,,Li1.3In0.3Ti1.7(PO4)3
351,Li1.4In0.4Ti1.6(PO4)3,3.02E-04,1,,167.0,,Li1.4In0.4Ti1.6(PO4)3
352,Li1.5In0.5Ti1.5(PO4)3,2.04E-04,1,,167.0,,Li1.5In0.5Ti1.5(PO4)3
353,Li1.2La0.2Ti1.8(PO4)3,8.00E-05,1,,167.0,,Li1.2La0.2Ti1.8(PO4)3
354,Li1.3La0.3Ti1.7(PO4)3,5.23E-04,1,,167.0,,Li1.3La0.3Ti1.7(PO4)3
355,Li1.4La0.4Ti1.6(PO4)3,4.98E-04,1,,167.0,,Li1.4La0.4Ti1.6(PO4)3
356,Li1.5La0.5Ti1.5(PO4)3,2.81E-04,1,,167.0,,Li1.5La0.5Ti1.5(PO4)3
357,Li1.5Fe0.5Ti1.5(PO4)3,1.74E-04,1,,167.0,55751.0,Li1.5Fe0.5Ti1.5(PO4)3
358,Li0.87Hf2.032P3O12,1.29E-05,1,0.33,167.0,83501.0,Li0.87Hf2.032P3O12
359,Li1.2Al0.2Ti1.8(PO4)3,5.95E-04,1,,167.0,427621.0,Li1.2Al0.2Ti1.8(PO4)3
360,Li(Ti1.4Sn0.6)(PO4)3,2.28E-05,1,0.32,167.0,183672.0,Li(Ti1.4Sn0.6)(PO4)3
361,Li(Ti0.6Sn1.4)(PO4)3,9.42E-06,1,,167.0,183676.0,Li(Ti0.6Sn1.4)(PO4)3
362,Li(Ti0.4Sn1.6)(PO4)3,3.15E-06,1,,167.0,183677.0,Li(Ti0.4Sn1.6)(PO4)3
363,Li1.15Y0.15Zr1.85(PO4)3,1.40E-04,1,0.39,167.0,191891.0,Li1.15Y0.15Zr1.85(PO4)3
364,LiZr2(PO4)3,1.00E-09,1,0.76,167.0,201935.0,LiZr2(PO4)3
365,Li1.3(Al0.3Ti1.7)(PO4)3,8.02E-07,1,,167.0,253240.0,Li1.3(Al0.3Ti1.7)(PO4)3
366,Li1.3(Al0.23Ga0.07Ti1.7)(PO4)3,4.46E-06,1,,167.0,253241.0,Li1.3(Al0.23Ga0.07Ti1.7)(PO4)3
367,Li1.3(Al0.23Sc0.07Ti1.7)(PO4)3,1.94E-07,1,,167.0,253242.0,Li1.3(Al0.23Sc0.07Ti1.7)(PO4)3
368,Li1.3(Al0.23Y0.07Ti1.7)(PO4)3,3.84E-08,1,,167.0,253243.0,Li1.3(Al0.23Y0.07Ti1.7)(PO4)3
369,Li1.3Al0.3Ti1.7(PO4)3,7.00E-04,1,,167.0,257190.0,Li1.3Al0.3Ti1.7(PO4)3
370,LiZr2(PO4)3,8.50E-05,1,,167.0,,LiZr2(PO4)3
371,Li1.025Y0.025Zr1.975(PO4)3,1.28E-04,1,,167.0,,Li1.025Y0.025Zr1.975(PO4)3
372,Li1.05Y0.05Zr1.95(PO4)3,1.30E-04,1,,167.0,,Li1.05Y0.05Zr1.95(PO4)3
373,Li1.1Y0.1Zr1.9(PO4)3,1.00E-04,1,,167.0,,Li1.1Y0.1Zr1.9(PO4)3
374,Li1.1Al0.1Ge1.9(PO4)3,1.29E-05,1,,167.0,,Li1.1Al0.1Ge1.9(PO4)3
375,Li1.2Al0.2Ge1.8(PO4)3,1.89E-05,1,0.46,167.0,,Li1.2Al0.2Ge1.8(PO4)3
376,Li1.3Al0.3Ge1.7(PO4)3,1.91E-04,1,,167.0,,Li1.3Al0.3Ge1.7(PO4)3
377,Li1.4Al0.4Ge1.6(PO4)3,3.17E-04,1,0.37,167.0,,Li1.4Al0.4Ge1.6(PO4)3
378,Li1.5Al0.5Ge1.5(PO4)3,3.45E-04,1,,167.0,,Li1.5Al0.5Ge1.5(PO4)3
379,Li1.6Al0.6Ge1.4(PO4)3,3.94E-04,1,0.37,167.0,,Li1.6Al0.6Ge1.4(PO4)3
