id,formula,target,balanced_charge,Ea (eV),space group,ICSD Entry,formula_preprocessed
1271,(La0.5Li0.5)0.95Ba0.05TiO3,7.61E-04,1,,,,(La0.5Li0.5)0.95Ba0.05TiO3
1272,La0.63Li0.1Mg0.5W0.5O3,1.69E-06,1,0.39,,,La0.63Li0.1Mg0.5W0.5O3
1273,Li0.5La0.5TiO3,8.67E-04,1,0.28,,,Li0.5La0.5TiO3
1274,Li0.5La0.5Ti0.98Sn0.02O3,4.86E-04,1,,,,Li0.5La0.5Ti0.98Sn0.02O3
1275,Li0.5La0.5Ti0.96Sn0.04O3,3.89E-04,1,,,,Li0.5La0.5Ti0.96Sn0.04O3
1276,Li0.5La0.5Ti0.94Sn0.06O3,3.52E-04,1,0.294,,,Li0.5La0.5Ti0.94Sn0.06O3
1277,Li0.5La0.5Ti0.9Sn0.1O3,2.60E-04,1,,,,Li0.5La0.5Ti0.9Sn0.1O3
1278,Li0.5La0.5Ti0.98Zr0.02O3,4.16E-04,1,,,,Li0.5La0.5Ti0.98Zr0.02O3
1279,Li0.5La0.5Ti0.96Zr0.04O3,2.86E-04,1,,,,Li0.5La0.5Ti0.96Zr0.04O3
1280,Li0.5La0.5Ti0.94Zr0.06O3,2.23E-04,1,,,,Li0.5La0.5Ti0.94Zr0.06O3
1281,Li0.5La0.5Ti0.9Zr0.1O3,7.05E-05,1,,,,Li0.5La0.5Ti0.9Zr0.1O3
1282,Li0.5La0.5Ti0.998Mn0.002O3,9.12E-04,1,,,,Li0.5La0.5Ti0.998Mn0.002O3
1283,Li0.5La0.5Ti0.996Mn0.004O3,9.64E-04,1,,,,Li0.5La0.5Ti0.996Mn0.004O3
1284,Li0.5La0.5Ti0.994Mn0.006O3,1.08E-03,1,,,,Li0.5La0.5Ti0.994Mn0.006O3
1285,Li0.5La0.5Ti0.992Mn0.008O3,1.13E-03,1,,,,Li0.5La0.5Ti0.992Mn0.008O3
1286,Li0.5La0.5Ti0.99Mn0.01O3,1.13E-03,1,,,,Li0.5La0.5Ti0.99Mn0.01O3
1287,Li0.5La0.5Ti0.998Ge0.002O3,9.12E-04,1,,,,Li0.5La0.5Ti0.998Ge0.002O3
1288,Li0.5La0.5Ti0.996Ge0.004O3,9.64E-04,1,,,,Li0.5La0.5Ti0.996Ge0.004O3
1289,Li0.5La0.5Ti0.994Ge0.006O3,1.08E-03,1,,,,Li0.5La0.5Ti0.994Ge0.006O3
1290,Li0.5La0.5Ti0.992Ge0.008O3,1.13E-03,1,0.265,,,Li0.5La0.5Ti0.992Ge0.008O3
1291,Li0.5La0.5Ti0.99Ge0.01O3,1.13E-03,1,,,,Li0.5La0.5Ti0.99Ge0.01O3
1292,La0.58Li0.36Ti0.95Mg0.05O3,2.10E-04,1,0.29,,,La0.58Li0.36Ti0.95Mg0.05O3
1293,La0.56Li0.36Ti0.95Al0.05O3,6.40E-04,1,0.26,,,La0.56Li0.36Ti0.95Al0.05O3
1294,La0.55Li0.36Ti0.95Mn0.05O3,1.90E-04,1,0.29,,,La0.55Li0.36Ti0.95Mn0.05O3
1295,La0.55Li0.36Ti0.95Ge0.05O3,3.60E-04,1,0.29,,,La0.55Li0.36Ti0.95Ge0.05O3
1296,La0.55Li0.36Ti0.95Ru0.05O3,5.20E-05,1,0.28,,,La0.55Li0.36Ti0.95Ru0.05O3
1297,La0.51Li0.36Ti0.95W0.05O3,7.30E-04,1,0.27,,,La0.51Li0.36Ti0.95W0.05O3
1298,La0.55Li0.36Ti0.9W0.1O3,4.40E-04,1,0.27,,,La0.55Li0.36Ti0.9W0.1O3
1299,La0.55Li0.36Ti0.995Al0.005O3,1.10E-03,1,0.28,,,La0.55Li0.36Ti0.995Al0.005O3
1300,La0.55Li0.36Ti0.992Al0.008O3,6.50E-04,1,0.29,,,La0.55Li0.36Ti0.992Al0.008O3
1301,La0.54Li0.36Ti0.995W0.005O3,2.60E-04,1,0.3,,,La0.54Li0.36Ti0.995W0.005O3
1302,La0.54Li0.36TiO3,8.90E-04,1,0.29,,,La0.54Li0.36TiO3
1303,La0.606Li0.06Ti0.94Al0.06O3,1.68E-06,1,0.36,,,La0.606Li0.06Ti0.94Al0.06O3
1304,La0.566Li0.1Ti0.9Al0.1O3,7.34E-06,1,0.35,,,La0.566Li0.1Ti0.9Al0.1O3
1305,La0.516Li0.15Ti0.85Al0.15O3,9.66E-06,1,0.36,,,La0.516Li0.15Ti0.85Al0.15O3
1306,La0.466Li0.2Ti0.8Al0.2O3,4.28E-05,1,0.33,,,La0.466Li0.2Ti0.8Al0.2O3
1307,La0.416Li0.25Ti0.75Al0.25O3,7.66E-05,1,0.35,,,La0.416Li0.25Ti0.75Al0.25O3
1308,La0.366Li0.3Ti0.7Al0.3O3,1.72E-05,1,0.33,,,La0.366Li0.3Ti0.7Al0.3O3
1309,Li0.12La0.63TiO3,2.00E-04,1,,,,Li0.12La0.63TiO3
1310,Li0.18La0.61TiO3,4.43E-04,1,,,,Li0.18La0.61TiO3
1311,Li0.24La0.59TiO3,9.93E-04,1,,,,Li0.24La0.59TiO3
1312,Li0.3La0.57TiO3,1.10E-03,1,,,,Li0.3La0.57TiO3
1313,Li0.39La0.54TiO3,1.02E-03,1,,,,Li0.39La0.54TiO3
1314,Li0.45La0.52TiO3,9.05E-04,1,,,,Li0.45La0.52TiO3
1315,LiZr2(PO4)3,4.77E-07,1,,,,LiZr2(PO4)3
1316,Li1.05Al0.05Zr1.9(PO4)3,5.79E-07,1,,,,Li1.05Al0.05Zr1.9(PO4)3
1317,Li1.1Al0.1Zr1.8(PO4)3,6.35E-07,1,,,,Li1.1Al0.1Zr1.8(PO4)3
1318,Li1.2Al0.2Zr1.6(PO4)3,1.90E-06,1,0.48,,,Li1.2Al0.2Zr1.6(PO4)3
1319,Li1.225Al0.225Zr1.55(PO4)3,2.13E-06,1,0.48,,,Li1.225Al0.225Zr1.55(PO4)3
1320,Li1.25Al0.25Zr1.5(PO4)3,2.06E-06,1,0.48,,,Li1.25Al0.25Zr1.5(PO4)3
1321,Li1.275Al0.275Zr1.45(PO4)3,3.05E-06,1,0.48,,,Li1.275Al0.275Zr1.45(PO4)3
1322,Li1.3Al0.3Zr1.4(PO4)3,1.91E-06,1,0.48,,,Li1.3Al0.3Zr1.4(PO4)3
1323,LiHf2(PO4)3,3.42E-06,1,,,,LiHf2(PO4)3
1324,LiHfTi(PO4)3,5.63E-07,1,,,,LiHfTi(PO4)3
1325,LiO.1Zr1.1Nb0.9P3O12,6.00E-06,1,,,,LiO.1Zr1.1Nb0.9P3O12
1326,LiTi2(PO4)3,1.04E-07,1,,,,LiTi2(PO4)3
1327,Li1.1Sc0.1Ti1.9(PO4)3,1.75E-05,1,,,,Li1.1Sc0.1Ti1.9(PO4)3
1328,Li1.2Sc0.2Ti1.8(PO4)3,4.11E-05,1,0.34,,,Li1.2Sc0.2Ti1.8(PO4)3
1329,Li1.3Sc0.3Ti1.7(PO4)3,4.06E-05,1,,,,Li1.3Sc0.3Ti1.7(PO4)3
1330,Li1.4Sc0.4Ti1.6(PO4)3,9.43E-06,1,,,,Li1.4Sc0.4Ti1.6(PO4)3
1331,Li1.5Sc0.5Ti1.5(PO4)3,5.42E-07,1,,,,Li1.5Sc0.5Ti1.5(PO4)3
1332,Li1.1Y0.1Ti1.9(PO4)3,2.94E-07,1,,,,Li1.1Y0.1Ti1.9(PO4)3
1333,Li1.2Y0.2Ti1.8(PO4)3,7.95E-07,1,,,,Li1.2Y0.2Ti1.8(PO4)3
1334,Li1.3Y0.3Ti1.7(PO4)3,1.01E-06,1,0.4,,,Li1.3Y0.3Ti1.7(PO4)3
1335,Li1.4Y0.4Ti1.6(PO4)3,2.97E-07,1,,,,Li1.4Y0.4Ti1.6(PO4)3
