,formula_unedited,formula,space group,target
253,Li10.275Si1.275P1.725S12,Li10.275Si1.275P1.725S12,137.0,-2.2510371387438384
359,Li(Ti1.4Sn0.6)(PO4)3,LiTi1.4Sn0.6P3O12,167.0,-4.642065152999546
42,Li3.9P0.1Si0.9O4,Li3.9P0.1Si0.9O4,11.0,-7.701146923590294
1033,Li7La3Zr2O12?5 wt% 40.2Li2O???5.7Y2O3???54.1SiO2,Li3.76La1.58Zr1.06O6.48Y0.01Si0.05,,-4.6020599913279625
1153,Li3.1PO3.8N0.16,Li3.1PO3.8N0.16,,-5.698970004336019
1231,0.7LiTi2(PO4)3-0.3Li3PO4,Li1.5999999999999999Ti1.4P2.3999999999999995O9.599999999999998,,-3.6108339156354674
971,0.6Li3N-0.4SiS2,Li1.7999999999999998N0.6Si0.4S0.8,,-7.647817481888637
862,(2Li2S-P2S5)0.85(LiI)0.15,Li3.55P1.7S5.95I0.15,,-3.6289321377282637
78,Li3.2Si0.2P0.8S4,Li3.2Si0.2P0.8S4,11.0,-5.505275091166654
707,Li6.835La3Zr2O12Al0.231,Li6.835La3Zr2O12Al0.231,230.0,-3.657577319177794
675,Li5.5La3Ta1.75Sm0.25O12,Li5.5La3Ta1.75Sm0.25O12,230.0,-5.286509456906058
701,Li6.4La3Zr1.4Ta0.4Nb0.2O12,Li6.4La3Zr1.4Ta0.4Nb0.2O12,230.0,-3.3419886033428874
97,Li0.04Na0.46La0.5Nb2O6,Li0.04Na0.46La0.5Nb2O6,47.0,-5.228412519118745
588,Li5.5Ba0.5La2.5Ta2O12,Li5.5Ba0.5La2.5Ta2O12,230.0,-4.869666231504994
517,LiCe(BH4)3Cl,LiCeB3H12Cl,217.0,-3.987162775294828
456,Li6PS5Br0.5I0.5,Li6PS5Br0.5I0.5,216.0,-4.581698708680254
355,Li1.5La0.5Ti1.5(PO4)3,Li1.5La0.5Ti1.5P3O12,167.0,-3.55129368009492
91,Li3ClO,Li3ClO,221.0,-2.336320532806835
64,La(Li0.76Mg0.08)O2,LaLi0.76Mg0.08O2,14.0,-9.138465589140962
186,(Li0.5Ce0.25Sm0.25)(MoO4),Li0.5Ce0.25Sm0.25MoO4,88.0,-9.744727494896694
484,Li6P(S4.3Se0.7)Br,Li6PS4.3Se0.7Br,216.0,-2.5214335044061564
1063,Li3PS4 ? 90 wt% SiO2,Li3PS4Si26.96O53.93,,-8.069050968832476
1102,0.45Li2S-0.35Li2O-0.2P2S5,Li1.6O0.35P0.4S1.45,,-4.197226274708024
56,0.75Li2O-0.25P2S5,Li1.5O0.75P0.5S1.25,,-4.777197898363201
1272,Li0.5La0.5TiO3,Li0.5La0.5TiO3,,-3.0619809025237896
46,Li0.6[Li0.2Sn0.8S2],Li0.6Li0.2Sn0.8S2,12.0,-3.9208187539523753
362,Li1.15Y0.15Zr1.85(PO4)3,Li1.15Y0.15Zr1.85P3O12,167.0,-3.853871964321762
732,Li2ZnGeS4,Li2ZnGeS4,,-8.853871964321762
148,Pr0.54Li0.38TiO3,Pr0.54Li0.38TiO3,62.0,-5.928117992693875
473,Li6.5P0.5Si0.5S5Br,Li6.5P0.5Si0.5S5Br,216.0,-2.6595558851598815
305,Li4.4Al0.4Ge0.6S4,Li4.4Al0.4Ge0.6S4,164.0,-4.363512103646634
1207,0.998LiI-0.002CaI2,Li0.998I1.002Ca0.002,,-6.008773924307505
183,(Li1.19Zn0.9)PS4,Li1.19Zn0.9PS4,82.0,-5.187086643357144
387,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,Li1.3Al0.1Sc0.2Ti1.7P3O12,167.0,-3.3675427078152755
828,Li1.6Mn1.2Cl4,Li1.6Mn1.2Cl4,,-4.838631997765025
59,0.85(0.6Li2S-0.4SiS2)- 0.15Li4GeO4,Li1.62S1.31Si0.4Ge0.15O0.6,,-3.9430951486635273
1066,Li3PS4 ? 15 wt% Li6ZnNb4O14,Li72.35P22.12S88.47ZnNb4O14,,-3.6179829574251317
698,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,230.0,-3.2781893847874533
372,Li1.1Y0.1Zr1.9(PO4)3,Li1.1Y0.1Zr1.9P3O12,167.0,-4.0
845,Li3.5Zn0.25GeO4,Li3.5Zn0.25GeO4,,-6.616184634019569
11,Li0.39La0.54TiO3,Li0.39La0.54TiO3,,-2.9789880363755663
1104,0.55Li2S-0.25Li2O-0.2P2S5,Li1.6O0.25P0.4S1.55,,-3.9507819773298185
383,Li1.7Al0.3Ti1.6(PO4)3,Li1.7Al0.3Ti1.6P3O12,167.0,-4.301029995663981
137,Li3.70Ge0.85W0.15O4,Li3.7Ge0.85W0.15O4,62.0,-4.42021640338319
1222,Li3.5As0.5V0.5O4,Li3.5As0.5V0.5O4,,-4.396855627379818
1290,Li0.5La0.5Ti0.99Ge0.01O3,Li0.5La0.5Ti0.99Ge0.01O3,,-2.9469215565165805
15,0.3LiI-0.7(0.6Li2S-0.4SiS2),Li1.14I0.3S1.22Si0.4,,-3.2854437620939034
746,Li3Cl0.5Br0.5O,Li3Cl0.5Br0.5O,,-2.712198270069774
533,(La0.6Li0.4)(Ti0.8Al0.2)O3,La0.6Li0.4Ti0.8Al0.2O3,221.0,-3.245651664288981
154,Li2.5Y0.5Zr0.5Cl6,Li2.5Y0.5Zr0.5Cl6,62.0,-2.853871964321762
1255,LiTi2(PO4)3-1.2LiNO3,Li2.2Ti2P3O15.6N1.2,,-3.0021769192542744
844,Li3.7Zn0.15GeO4,Li3.7Zn0.15GeO4,,-6.334419008982047
1291,La0.58Li0.36Ti0.95Mg0.05O3,La0.58Li0.36Ti0.95Mg0.05O3,,-3.677780705266081
592,Li7Ba2LaTa2O12,Li7Ba2LaTa2O12,230.0,-5.522878745280337
683,Li5La3Nb1.85Y0.15O12,Li5La3Nb1.85Y0.15O12,230.0,-5.23284413391782
411,Li1.3Ga0.3Ge1.7(PO4)3,Li1.3Ga0.3Ge1.7P3O12,167.0,-4.349692476868063
397,Li1.1Cr0.1Ti0.9(PO4)3,Li1.1Cr0.1Ti0.9P3O12,167.0,-3.5850266520291822
522,Fe0.19La2.95Li5.57Zr2O12,Fe0.19La2.95Li5.57Zr2O12,220.0,-2.8601209135987635
984,0.75(0.4Li2O-0.6Li2S)-0.25P2S5,Li1.8O0.3S1.85P0.5,,-4.30189945437661
1337,14Li2O-9Al2O3-38TiO2-39P2O5,Al18Li28O312P78Ti38,,-2.886056647693163
107,Li6.6La3Zr1.6Ta0.4O12,Li6.6La3Zr1.6Ta0.4O12,230.0,-3.2301193614453427
1016,0.1LiI-0.9(0.5Li2S-0.5SiS2),LiI0.1S1.45Si0.5,,-4.399027104313252
333,Li1.4Cr0.4Ti1.6(PO4)3,Li1.4Cr0.4Ti1.6P3O12,167.0,-3.826813731587726
1163,Li1.8PO1.2N1.5,Li1.8PO1.2N1.5,,-5.769551078621726
225,Li10GeP2S11.7O0.3,Li10GeP2S11.7O0.3,137.0,-1.9393021596463884
1280,Li0.5La0.5Ti0.9Zr0.1O3,Li0.5La0.5Ti0.9Zr0.1O3,,-4.151810883008602
401,Li1.1Fe0.1Ti0.9(PO4)3,Li1.1Fe0.1Ti0.9P3O12,167.0,-3.2006594505464183
1311,Li0.3La0.57TiO3,Li0.3La0.57TiO3,,-2.958607314841775
1200,0.9(0.61Li2S-0.39SiS2)-0.1Li3PO4,Li1.398S1.329Si0.39P0.1O0.4,,-3.8927900303521317
1326,Li1.1Sc0.1Ti1.9(PO4)3,Li1.1Sc0.1Ti1.9P3O12,,-4.756961951313706
29,Li3.5Si0.5P05S4,Li3.5Si0.5P5S4,11.0,-3.779891911959945
573,(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,Li0.74Mg0.26Li0.4Mg0.04Ti1.56O4,227.0,-8.821023052706831
1283,Li0.5La0.5Ti0.994Mn0.006O3,Li0.5La0.5Ti0.994Mn0.006O3,,-2.96657624451305
1025,0.925Li6Si2S7-0.075Li6B4S9,Li6.000000000000001Si1.85S7.15B0.3,,-3.4377071355435254
649,Li7La3Zr1.8599Al0.1401O12,Li7La3Zr1.8599Al0.1401O12,230.0,-3.494850021680094
518,Li7PN4,Li7PN4,218.0,-6.795880017344075
546,La0.61Li0.15TiO3,La0.61Li0.15TiO3,221.0,-3.6861327796308467
349,Li1.3In0.3Ti1.7(PO4)3,Li1.3In0.3Ti1.7P3O12,167.0,-3.4056074496245734
626,Li6.2La3Zr1.6Mo0.4O12,Li6.2La3Zr1.6Mo0.4O12,230.0,-3.4685210829577446
995,0.95(0.5Li2-0.5SiS2)-0.05(0.5Li2O-0.5P2O5),LiSi0.5SO2.525P,,-3.369572124974976
73,LiTa2PO8,LiTa2PO8,15.0,-2.795880017344075
1239,LiTi2(PO4)3-0.3LiPO4,Li1.3Ti2P3.3O13.2,,-3.0034883278458215
332,Li1.3Cr0.3Ti1.7(PO4)3,Li1.3Cr0.3Ti1.7P3O12,167.0,-4.454692883534176
865,(2Li2S-P2S5)0.55(LiI)0.45,Li2.65P1.1S3.85I0.45,,-2.9507819773298185
929,0.5Li2O-0.1TiO2-0.4P2O5,LiO2.7P0.8Ti0.1,,-7.246416941107094
1185,0.975(0.5Li2S-0.5SiS2)-0.025Li3PO4,Li1.05S1.488Si0.5P0.025O0.1,,-4.057495893831919
314,Li1.4Ti1.6Sc0.4(PO4)3,Li1.4Ti1.6Sc0.4P3O12,167.0,-3.701146923590293
437,Li5.5La3Nb1.75In0.25O12,Li5.5La3Nb1.75In0.25O12,199.0,-2.0931264652779293
652,Nd3Zr2Al0.5Li5.5O12,Nd3Zr2Al0.5Li5.5O12,230.0,-4.4089353929735005
351,Li1.5In0.5Ti1.5(PO4)3,Li1.5In0.5Ti1.5P3O12,167.0,-3.6903698325741012
129,0.5(Li2S) 0.5(GeS2),LiS1.5Ge0.5,,-4.453637376305421
1247,LiTi2(PO4)3-0.2Li2SO4,Li1.4Ti2P3O12.8S0.2,,-3.078313524516398
1298,La0.55Li0.36Ti0.995Al0.005O3,La0.55Li0.36Ti0.995Al0.005O3,,-2.958607314841775
1232,0.95LiTi2(PO4)3-0.05Li3BO3,Li1.1Ti1.9P2.8499999999999996O11.549999999999999B0.05,,-4.444905551421681
871,0.1 LiBr-0.45 SiS2-0.45 Li2S,Br0.1LiS1.35Si0.45,,-3.721246399047171
783,0.6(Li2O) 0.4(P2O5),Li1.2P0.8O2.6,,-7.522878745280337
1156,Li4.4PO4.3,Li4.4PO4.3,,-6.027334407733889
850,Li7La2.75Ca0.25Zr1.75Nb0.25O12,Li7La2.75Ca0.25Zr1.75Nb0.25O12,,-3.657577319177794
