element,valence_p,heat_atomization(kJ/mol),Atomic_Radius,ionic_radius,Pauling_Electronegativity,Density_(g/mL),Zunger_radii_sum,valence_f,Melting_point_(K),outer_shell_electrons,Metal,valence_d,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_f_valence_electrons,crystal_radius,Number_of_unfilled_d_valence_electrons,metallic_valence,1st_ionization_potential_(kJ/mol),Cohesive_energy,number_of_valence_electrons,Atomic_Weight,Number_of_unfilled_s_valence_electrons,heat_of_vaporization_(kJ/mol)_,heat_of_fusion_(kJ/mol)_,Covalent_Radius,valence_s
Os,0,791,1.85,1.3,2.2,22.6,2.65,14,3318.15,2,1,6,6,0,0.77,4,5.78,839,8.17,8,190.23,0,746.0,31.8,1.28,2
Ir,0,665,1.8,1.35,2.2,22.4,2.628,14,2683.15,2,1,7,6,0,0.77,3,5.78,878,6.94,9,192.22,0,604.0,26.1,1.37,2
Pt,0,565,1.77,1.35,2.28,21.4,2.7,14,2045.15,1,1,9,6,0,0.74,1,5.78,868,5.84,10,195.08,1,510.0,19.6,1.28,1
Au,0,366,1.74,1.35,2.54,19.3,2.66,14,1337.15,1,1,10,6,0,1.51,0,5.44,890,3.81,11,196.96654,1,334.4,12.55,1.44,1
Hg,0,61,1.71,1.5,2.0,13.5,2.41,14,234.25,2,1,10,6,0,0.83,0,4.44,1007,0.67,12,200.59,0,59.229,2.295,1.49,2
Tl,1,182,1.56,1.9,1.62,11.9,2.235,14,576.15,3,1,10,5,0,1.03,0,3.44,589,1.88,3,204.3833,0,164.1,4.142,1.48,2
Pb,2,196,1.54,1.8,1.87,11.4,2.09,14,600.65,4,1,10,4,0,1.49,0,2.44,716,2.03,4,207.2,0,177.7,4.799,1.47,2
Bi,3,207,1.43,1.6,2.02,9.75,1.997,14,544.15,5,1,10,3,0,1.17,0,3.0,703,2.18,5,208.98037,0,104.8,11.3,1.46,2
Th,0,576,1.8,1.8,1.3,11.7,4.98,0,2023.15,2,1,2,6,14,1.19,8,4.0,587,6.2,2,232.0381,0,514.4,16.1,1.65,2
U,0,490,1.75,1.75,1.38,19.0,4.72,3,1405.15,2,1,1,6,11,0.87,9,5.78,598,5.55,3,238.0289,0,477.0,14.0,1.42,2
