,formula,space group #,space group,structure,target,ion_tosub1,ion_tosub2,ion_tosub3,ion_tosub4
63,Li6.75La3Zr1.75Ta0.25O12,230.0,Ia-3d,garnet,-3.387216143,La3+,Ta5+,,
64,Li0.5La0.5Ti0.96Zr0.04O3,,,,-3.543633967,Ti4+,,,
65,Li6.6La2.875Y0.125Zr1.6Ta0.4O12,,,,-3.498940738,Y3+,Ta5+,,
66,La0.57Li0.26TiO2.99,,,,-3.0,Ti4+,,,
67,Li6.6La2.5Y0.5Zr1.6Ta0.4O12,,,,-3.645891561,Y3+,Ta5+,,
68,Li5.74La3Zr1.5Ta0.5O12,230.0,,,-3.04431225,Ta5+,,,
69,Li6.4La3Zr1.4Ta0.6O12,230.0,,,-3.0,La3+,Ta5+,,
70,Li0.5La0.5Ti0.98Zr0.02O3,,,,-3.380906669,La3+,Ti4+,,
71,Li7La2.75Ca0.25Zr1.75Nb0.25O12,,,,-3.657577319,La3+,Ca2+,Nb5+,
72,Li6.6La3Zr1.6Ta0.4O12,,,,-3.504455662,La3+,Ta5+,,
73,Li6.8La3Zr1.9Mo0.1O12,230.0,,,-4.096910013,La3+,Mo6+,,
74,Li6.4La3Zr1.4Ta0.5Nb0.1O12,230.0,,,-3.35261703,La3+,Ta5+,Nb5+,
75,Li6La3ZrTaO12,230.0,,,-3.356547324,La3+,Ta5+,,
76,Li6.6La3Zr1.6Sb0.4O12,,,,-3.113509275,La3+,Zr4+,Sb4+,
77,Li6.75La3Zr1.875Te0.125O12,230.0,,,-3.48148606,La3+,Zr4+,Te6+,
78,Li6.6La2.6Ce0.4Zr2O12,,,,-4.841637508,La3+,Zr4+,Ce4+,
79,(Li6.26Al0.24)La3Zr2O12,230.0,,,-3.508638306,La3+,Zr4+,Al3+,
80,Li6.6La3Zr1.6Ta0.4O12,230.0,,,-3.142667504,La3+,Ta5+,,
81,Li6.4La3Zr1.4Ta0.6O12,230.0,,,-3.0,La3+,Ta5+,,
82,Li6.05Ga0.25La3Zr2O11.8F0.2,230.0,,,-2.89279003,La3+,F1-,,
83,Li6.375La3Zr1.375Nb0.625O12,230.0,,,-2.863279433,La3+,Nb5+,,
84,Li6.75La3Zr1.75Ta0.25O12,230.0,,,-3.055517328,La3+,Ta5+,,
85,Li6.5La3Zr1.5Ta0.5O12,230.0,,,-3.036212173,La3+,Ta5+,,
86,Li6La3ZrNbO12,,,,-3.823908741,La3+,Nb5+,,
87,Li7La3Zr1.89Al0.15O12,230.0,,,-3.468521083,La3+,Zr4+,Al3+,
88,Li6.7La3Zr1.7Ta0.3O12,230.0,,,-3.017728767,La3+,Ta5+,,
89,Li7.06La3Y0.06Zr1.94O12,230.0,,,-3.019542108,La3+,Y3+,,
90,Li6.5La3Zr1.5Ta0.5O12,230.0,,,-3.036212173,La3+,Ta5+,,
91,Li6.6La3Zr1.6Sb0.4O12,230.0,,,-3.113509275,La3+,Zr4+,Sb4+,
