ionA ionB gAB
Pb:2+ Sn:2+ 4.648901667117585
Re:5+ U:6+ 4.630002379273036
Sb:5+ Ta:5+ 4.626229948721557
Re:5+ Tm:3+ 4.622799673626724
Al:3+ V:3+ 4.617345127818233
Dy:3+ Ho:3+ 4.596266224472007
Ho:3+ Y:3+ 4.581769241941141
Re:5+ Ti:3+ 4.559535738526586
Te:6+ W:6+ 4.554272109404391
Tm:3+ Y:3+ 4.546369753577113
Sn:4+ Ta:5+ 4.543017790639377
Rh:3+ Sb:5+ 4.542912706655577
I:7+ Re:7+ 4.522014461452356
As:5+ Cr:5+ 4.498197442819795
Bi:5+ Ir:5+ 4.4971264567866545
Al:3+ Mn:3+ 4.491144228145543
Nb:4+ Pt:4+ 4.489855091889721
Tb:3+ Tm:3+ 4.4604261518103705
Cr:5+ V:5+ 4.453398674603048
Pu:3+ U:4+ 4.438499006354405
Bi:5+ Rh:4+ 4.435315690898115
Ho:3+ Tm:3+ 4.434917094694196
Gd:3+ Ho:3+ 4.422168037514184
Ho:3+ Sm:3+ 4.421780380919012
Cr:4+ Pt:4+ 4.414581451430635
Sm:3+ Tb:3+ 4.402170897879249
Na:1+ Sb:5+ 4.398122784396826
Cl:1- F:1- 4.385728758459584
Lu:3+ Sc:3+ 4.38397752831434
B:3+ N:5+ 4.378102597155075
Co:3+ Ni:3+ 4.3719370767215
Gd:3+ Yb:3+ 4.369359611423368
Rh:3+ Rh:4+ 4.367511078810758
Pr:3+ Se:4+ 4.366272572321235
Cl:7+ Mn:7+ 4.354805275089967
Ni:4+ Pd:4+ 4.338441938825818
Lu:3+ Y:3+ 4.332860648795422
Lu:3+ Yb:3+ 4.3139511319521215
Eu:3+ Sm:3+ 4.30241149928229
Pt:4+ Re:4+ 4.223551140682945
Gd:3+ Y:3+ 4.223314380621195
Lu:3+ Tm:3+ 4.222011541445045
Nd:3+ Tb:3+ 4.217389862322784
Tb:3+ Yb:3+ 4.212418078528961
Mn:4+ V:4+ 4.211581498184152
N:3- Se:2- 4.209618760572656
Cr:6+ Zn:2+ 4.193177495975377
Cr:6+ P:5+ 4.184597308946154
Ba:2+ Pb:2+ 4.183934821446447
Pd:4+ W:4+ 4.177314203639578
Dy:3+ Yb:3+ 4.1642686162959945
Ho:3+ Nd:3+ 4.141678049245411
Ho:3+ Tb:3+ 4.140764671120076
K:1+ Tl:1+ 4.13147859795023
Gd:3+ La:3+ 4.12573929423285
Dy:3+ Y:3+ 4.107827991278806
Ba:2+ Rb:1+ 4.101830675122791
Er:3+ Tm:3+ 4.099417128086584
Ho:3+ Lu:3+ 4.095946580641335
Co:2+ Hg:2+ 4.0818305990263895
Be:2+ Si:4+ 4.079193308217982
Cr:6+ Mn:6+ 4.070386252618404
Re:5+ V:3+ 4.063422007355603
Re:5+ Tb:3+ 4.06194557013932
Co:3+ V:3+ 4.053404141018111
Pt:4+ Ru:4+ 4.048403233629565
Nb:5+ Ru:4+ 4.03937689478334
Cr:4+ Pd:4+ 4.02995596204893
Mn:4+ Rh:3+ 4.029809262154755
Nd:3+ Y:3+ 4.0275214727961774
Co:3+ Se:4+ 4.024625180938546
Os:4+ Pd:4+ 4.022446830590637
Cr:2+ Cu:2+ 4.021843074101174
Mn:3+ Pr:4+ 4.018187855474882
Pd:4+ Po:4+ 4.01793858198137
In:3+ V:3+ 4.017313383749823
Re:5+ Yb:3+ 3.98980775714204
Pd:4+ Re:4+ 3.9862729515626945
Fe:2+ Sn:4+ 3.972197899887086
Al:3+ Ti:3+ 3.9625399505742878
Er:3+ Tb:3+ 3.94554206921682
Hg:2+ Mn:2+ 3.9377599182051664
Er:3+ Y:3+ 3.931854110438393
Ni:3+ Ti:3+ 3.929283688537594
Cd:2+ Co:2+ 3.9253879292102654
Eu:3+ Tb:3+ 3.9205178008779766
Am:3+ U:4+ 3.892757600885114
Fe:3+ In:3+ 3.8833208170482307
Eu:3+ Nd:3+ 3.8576349745631022
Cu:2+ Ge:4+ 3.855689832343416
Tb:4+ Zr:4+ 3.8539909120189035
Am:3+ Th:4+ 3.853974062439286
Mn:7+ S:6+ 3.8444479146833297
Yb:2+ Zr:4+ 3.8439201934325937
Al:3+ Ni:3+ 3.8406399771196984
In:3+ Ti:3+ 3.838603757896501
Sm:3+ Y:3+ 3.83267331077955
Dy:3+ Tm:3+ 3.8285958639409774
Ce:4+ Co:3+ 3.8266631430917846
Ce:3+ Gd:3+ 3.816676576602909
Li:1+ Na:1+ 3.7715537019564183
Ir:4+ Pt:4+ 3.7583617943569805
I:7+ Tc:7+ 3.757636571335288
Co:2+ Sn:4+ 3.752765872311762
Re:7+ Tc:7+ 3.7518102204868256
In:3+ Sc:3+ 3.7380090921686793
Gd:3+ Tm:3+ 3.7339771262806245
Mn:4+ Pd:4+ 3.7245702411964596
Pb:4+ Pd:2+ 3.723112667939201
Ti:4+ V:4+ 3.721131887402338
Eu:2+ Pb:2+ 3.7129626667163227
Si:4+ Zn:2+ 3.704912876953006
Pt:4+ Rh:4+ 3.7046148814354294
Er:3+ Sm:3+ 3.6976529985063356
Eu:3+ La:3+ 3.69578689051856
Ru:5+ Ta:5+ 3.691799472077957
Dy:3+ Sm:3+ 3.6893917783245787
Ho:3+ Tl:3+ 3.688201015330156
Hg:2+ Mg:2+ 3.6879204769384417
Fe:3+ Mo:3+ 3.6828398212018816
Ru:4+ Ta:5+ 3.666631638029308
Bi:5+ Pt:4+ 3.656496763942213
Er:3+ Lu:3+ 3.655905200336889
As:5+ Cr:6+ 3.6554322256690224
Mn:3+ Ru:4+ 3.6538740392409355
Co:2+ Ge:4+ 3.637337091645077
Cr:3+ In:3+ 3.6307534647272197
Ce:3+ Eu:3+ 3.629258305591934
Cr:5+ Th:4+ 3.6264637246196427
Ir:5+ Mn:2+ 3.623408332988341
Pr:3+ Tb:3+ 3.622489677012497
Ag:1+ Au:1+ 3.6079398319169167
Nd:3+ Yb:3+ 3.6065708069763964
Mo:3+ Ti:3+ 3.59941802484716
Ca:2+ La:3+ 3.5949830092149093
Eu:3+ Y:3+ 3.5824914140770288
Eu:3+ Yb:3+ 3.569175877178555
Er:3+ Ho:3+ 3.553137309879998
Fe:3+ Zr:4+ 3.542217817798053
Pr:3+ Y:3+ 3.5320777392207314
Ga:3+ Mn:3+ 3.532049761376709
Er:3+ Nd:3+ 3.5308792144177077
Ir:5+ Li:1+ 3.52937116827072
Cr:3+ Ni:3+ 3.5271092945364826
Co:4+ V:2+ 3.515797700886846
Cd:2+ Ge:4+ 3.510452512318859
Dy:3+ Nd:3+ 3.5053495001933586
Ir:5+ Mo:5+ 3.5030964770538233
Sc:3+ Y:3+ 3.4984632438012304
Er:3+ Tl:1+ 3.492698199411509
Cr:3+ Mo:3+ 3.4916474363740178
Nd:3+ Se:4+ 3.4833503050039147
Ir:4+ U:6+ 3.4755262378294214
Er:3+ Tl:3+ 3.4700350230421515
Pu:3+ Th:4+ 3.4669259095263962
Mo:4+ Ti:4+ 3.464608436585878
V:5+ Y:3+ 3.4612040014273657
Re:5+ Tl:3+ 3.459694875119106
Ge:2+ I:5+ 3.4589628477108096
Pb:4+ Se:4+ 3.452332192820459
Mo:4+ Zr:4+ 3.4520277337052874
Cs:1+ Tl:1+ 3.4511797624498173
Mo:4+ Sn:4+ 3.4303919189990246
Cr:4+ Mn:4+ 3.4153229204439124
Mn:3+ Nb:4+ 3.3839100924951735
Re:5+ Sc:3+ 3.3833801435088304
Pr:3+ Yb:3+ 3.383167939664648
Ga:3+ Sc:3+ 3.3733642149961494
Cd:2+ Pb:2+ 3.3674145282175902
Nb:5+ Ru:5+ 3.360000142168506
Mn:3+ Ru:3+ 3.3570155144646288
Sn:4+ Te:4+ 3.3553451592146044
Mo:6+ Ru:5+ 3.34716805534121
Pb:4+ Zr:4+ 3.3441525514408412
Ir:5+ Te:6+ 3.3413576453149894
Gd:3+ Tl:3+ 3.339008165951458
Dy:3+ Tb:3+ 3.333156232268651
Ru:4+ Zr:4+ 3.328205963804607
Ag:1+ Li:1+ 3.3205592497185736
Cs:1+ K:1+ 3.3175256156932393
Mo:3+ Os:7+ 3.3097188829967257
Ni:4+ Pt:4+ 3.305007898260435
Mn:4+ Pt:4+ 3.3045227266542287
Cd:2+ Sn:4+ 3.303809638154199
Ir:5+ Rh:4+ 3.3025186830692905
Nb:4+ Sn:4+ 3.2995761020798065
Co:3+ Ti:3+ 3.2930769990732793
P:5+ Si:4+ 3.2901442918645865
Er:3+ Eu:3+ 3.288936386273085
Eu:3+ Tm:3+ 3.2834745815710584
V:5+ Yb:2+ 3.2830115974012064
Li:1+ Tl:1+ 3.2829855355129394
Er:3+ Mo:3+ 3.2823969003930715
Cu:3+ Mo:3+ 3.277282022443476
Sm:3+ Tm:3+ 3.2734558226176875
Cr:4+ W:4+ 3.2606908147764737
Os:4+ W:4+ 3.253726688280904
Eu:3+ Pr:3+ 3.253266015807599
Ge:4+ P:5+ 3.2474983629885807
Mo:4+ Pt:4+ 3.2461411036443284
Ho:3+ Tl:1+ 3.242480693523617
Dy:3+ Tl:1+ 3.220536245757525
Mn:3+ Pd:2+ 3.2135977096598296
Eu:3+ U:4+ 3.212559705936868
Ce:3+ Tl:1+ 3.210538367331918
Pd:4+ Te:4+ 3.2102906746153255
Ni:2+ Sn:4+ 3.2091455834158817
Ho:3+ La:3+ 3.1917847063784777
Ir:5+ Tm:3+ 3.182187977339434
Dy:3+ Lu:3+ 3.1816090025073565
Lu:3+ Tb:3+ 3.178353307515699
Ge:2+ N:5+ 3.1723382762210943
Gd:3+ Tl:1+ 3.164527261964785
Re:5+ U:5+ 3.163249648594274
Dy:3+ Eu:3+ 3.1632423027642442
Ni:2+ V:2+ 3.1612312423528866
Ir:4+ Nb:5+ 3.155017603419108
Er:3+ Li:1+ 3.1537288419993765
Ir:4+ Pd:4+ 3.152808332435159
Pb:2+ U:4+ 3.1474050963827787
Ho:3+ Na:1+ 3.1463167703923816
Cr:3+ Ga:3+ 3.1347755642729433
V:5+ Y:2+ 3.1332102767589967
Ge:4+ Ti:4+ 3.132483080496425
Ca:2+ Pr:3+ 3.1322612631109106
Mo:6+ Na:1+ 3.1309766517619892
Mo:4+ Pd:4+ 3.128952732938142
Ca:2+ Mn:2+ 3.1258119255200065
N:3- S:2- 3.1255458075019384
In:3+ Rh:3+ 3.1066113362696637
In:3+ Yb:3+ 3.1007404497318984
Sc:3+ V:3+ 3.094828418117149
Hf:4+ V:5+ 3.0942885258090116
Ce:3+ Th:4+ 3.0923575672595365
Na:1+ W:6+ 3.090432606567926
Lu:3+ Sm:3+ 3.0841780176137235
Bi:5+ Sb:5+ 3.0788737574576137
Fe:2+ Hg:2+ 3.076867391230727
La:3+ Se:4+ 3.0753962655384846
Er:3+ Na:1+ 3.0704937123058857
Ag:1+ In:3+ 3.0596733023029787
Dy:3+ La:3+ 3.0571693171596235
Ca:2+ Cd:2+ 3.0554311777664735
Pb:4+ Pr:4+ 3.054145916669571
Pr:3+ Tm:3+ 3.049629152069643
Pr:3+ U:4+ 3.047177779151964
Nd:3+ Tm:3+ 3.039839958704765
Eu:3+ Ho:3+ 3.0336858976910164
Dy:3+ Tl:3+ 3.028198862918667
Ce:4+ Ir:5+ 3.024996983041487
P:5+ S:6+ 3.01546101262002
Co:3+ Zr:4+ 2.9831210863259923
Re:6+ W:6+ 2.9776991569849787
Bi:5+ Sn:4+ 2.9764850749622216
Lu:3+ V:3+ 2.9713507550660676
Pb:2+ Sb:3+ 2.970071748236945
Ag:1+ C:4+ 2.9689939227536954
Mo:6+ Zn:2+ 2.96480872280821
Ga:3+ V:3+ 2.963410363970845
Li:1+ Si:4+ 2.9603258747899903
Ti:3+ V:3+ 2.952959892034073
Bi:3+ Pb:2+ 2.945388300675213
Re:5+ U:3+ 2.9435811309008804
Ce:4+ Ni:3+ 2.9384961514646246
Rh:4+ Zr:4+ 2.9277030594832096
Ru:5+ Y:3+ 2.923560643701762
Ca:2+ Sm:3+ 2.918942670604972
I:7+ Mo:6+ 2.917830013092123
Br:5+ N:5+ 2.9017779767393654
Mn:4+ Ta:5+ 2.8909724809969632
Ga:3+ Ti:3+ 2.8882075481899623
Rh:4+ Ru:5+ 2.8832334339108745
V:3+ Zr:4+ 2.8820611971831505
Ho:3+ In:3+ 2.8780833335577016
Er:3+ In:3+ 2.876632792801286
Cr:3+ Rh:3+ 2.8718277694155887
La:3+ Y:3+ 2.8713731516881014
Ho:3+ Li:1+ 2.8711126413573673
Ho:3+ Pr:3+ 2.8659393190694855
Gd:3+ Se:4+ 2.8640984182351423
Co:4+ Pd:4+ 2.8607316852031377
Re:5+ Zn:2+ 2.860514810418519
Cr:4+ Te:4+ 2.8532253615080405
Dy:3+ Na:1+ 2.85263089095495
Cr:3+ Lu:3+ 2.8355430622321465
Cr:3+ Fe:2+ 2.8336925387192724
Th:4+ Zr:4+ 2.832621631523197
U:6+ W:6+ 2.832031748536679
Cu:1+ Cu:2+ 2.8300193530159365
Ag:1+ Ga:3+ 2.8297702785736107
Ag:2+ Cu:2+ 2.8291241413980286
Cu:2+ Pd:2+ 2.8284143611789045
Er:3+ Sc:3+ 2.8279428535237146
Ca:2+ Nd:3+ 2.8237056062498724
Ir:5+ Mo:6+ 2.819212700860292
Ni:3+ Pr:4+ 2.8149275487128858
Mn:4+ Zr:4+ 2.8110073946217384
Rh:3+ V:3+ 2.8105546675486583
Mn:3+ Yb:2+ 2.8079629894865956
Sm:3+ Yb:3+ 2.8042294361226747
Re:5+ Te:6+ 2.802833061036372
Ti:4+ Zn:2+ 2.7935625473883565
Fe:2+ W:6+ 2.793271835301226
Al:3+ C:4+ 2.7906807710616097
Re:5+ Re:7+ 2.790652803107957
Co:2+ Ir:5+ 2.786172144031224
Ir:5+ Nb:5+ 2.7836250315531363
U:4+ Zr:4+ 2.7831896212560077
Mo:4+ Ru:4+ 2.782076092198586
U:4+ W:4+ 2.7780570983349344
Na:1+ Ni:3+ 2.7771644187771463
Gd:3+ Lu:3+ 2.7720381474868008
Mn:4+ Rh:4+ 2.7652010024691855
B:3+ Cr:6+ 2.7645313091698522
Fe:3+ Sb:5+ 2.763855182297348
Nd:3+ Tl:3+ 2.763712145067037
Bi:5+ Ru:5+ 2.7629959978944383
Nd:3+ Sr:2+ 2.7628027138692732
Tb:4+ V:3+ 2.759236943626601
La:2+ Nb:5+ 2.759166448167092
Mn:2+ Ti:4+ 2.7573296332196886
In:1+ Sb:3+ 2.754523958186352
Mo:3+ Ni:3+ 2.75419709548626
Hg:2+ Sn:4+ 2.7511159259802627
Mg:2+ Ni:3+ 2.7502551368919
Cr:4+ Ni:4+ 2.746811701162244
Ge:4+ Hg:2+ 2.744105981906761
Tb:3+ Tl:3+ 2.7437187231847213
As:3+ Sb:3+ 2.74212005155241
Ce:3+ Er:3+ 2.7375980674740306
Bi:3+ U:4+ 2.734030200821317
Cu:3+ Sb:5+ 2.732983288833038
Ta:5+ Y:3+ 2.713548223139417
Na:1+ Tl:1+ 2.711321318672357
Mn:2+ Mn:3+ 2.7081383677388935
Re:6+ Sb:5+ 2.7044745284345324
Mn:2+ Zr:4+ 2.7033097983917114
Ni:3+ Rh:3+ 2.6991069947372095
Cd:2+ Pt:4+ 2.6949311583789903
Mn:4+ Pb:4+ 2.6897371212765724
Cr:3+ Mg:2+ 2.675460163615193
U:5+ V:3+ 2.6661595946968024
Cs:1+ Sr:2+ 2.6656212463932376
Pd:4+ Sn:4+ 2.6573517186653755
Mg:2+ Mo:6+ 2.65686871804914
Nb:4+ Zr:4+ 2.6561170398281444
Ti:4+ W:4+ 2.6554569988304406
Ni:3+ Se:4+ 2.6501772902301926
Cr:6+ Si:4+ 2.64646180868835
Pr:3+ Sr:2+ 2.645343078968576
Mg:2+ W:6+ 2.642232896362205
Pb:4+ V:3+ 2.642182482401043
Nd:3+ U:4+ 2.6400311572185062
Lu:3+ W:6+ 2.638541862066161
Mn:4+ Nb:5+ 2.6368445588596723
Tb:3+ V:5+ 2.6315466649882056
Mo:6+ Os:7+ 2.629957789796566
Mo:6+ Re:7+ 2.6286080682359794
Ir:4+ W:6+ 2.625524771368412
Ni:2+ U:6+ 2.624238826547704
Dy:3+ Pr:3+ 2.6234896397957086
Eu:3+ Lu:3+ 2.6206990862798976
Fe:3+ Se:4+ 2.613877419141795
Mn:3+ Sn:2+ 2.6126625842917295
Nb:5+ V:4+ 2.6105113353225438
Rh:3+ Ta:5+ 2.6044067553205523
In:3+ Lu:3+ 2.6015237324627973
Mg:2+ Sb:5+ 2.6002330626594286
Ni:3+ Ru:3+ 2.595211054219692
Pb:4+ Tb:4+ 2.5906016701445123
Cr:3+ Yb:3+ 2.585986574134651
Dy:3+ In:3+ 2.583832500577077
Ru:5+ Tm:3+ 2.5816945178753197
Co:3+ Pr:4+ 2.5787035373508136
Ce:4+ Zr:4+ 2.57499567972434
Cr:3+ Sb:5+ 2.571774261420502
In:3+ Mg:2+ 2.570846542070831
Hg:2+ Zr:4+ 2.5706117643173325
Ru:5+ U:6+ 2.5697685684798253
Fe:3+ Pr:4+ 2.5681882881518594
Ni:3+ Zr:4+ 2.5661965287255106
Cr:3+ Ni:2+ 2.5633264378622185
Al:3+ B:3+ 2.5598747726274116
S:4+ Se:4+ 2.5580758400192223
Mg:2+ Ti:3+ 2.5577293502026506
K:1+ Na:1+ 2.555273245640135
Br:5+ Cl:5+ 2.5526860472061697
Ce:3+ U:4+ 2.55164111870863
Ce:3+ Tb:3+ 2.543854447259998
Ho:3+ Rb:1+ 2.534306117237474
Cu:2+ Hg:2+ 2.532061148262623
Ce:4+ Mn:3+ 2.5320251383048795
Mn:3+ Pb:4+ 2.5315351307296843
Tm:3+ V:3+ 2.5278211482501836
Ce:4+ Sc:3+ 2.526660804584228
Cu:3+ Ni:3+ 2.524877120190613
Ca:2+ Mg:2+ 2.5245044738100155
Pr:2+ V:5+ 2.524289141351584
Lu:3+ Ru:5+ 2.5209476864067635
B:3+ S:6+ 2.519708852590882
Fe:3+ Ni:2+ 2.5182551987981565
Bi:5+ Cr:4+ 2.511548550510959
Pb:2+ Sr:2+ 2.5102020699902576
Bi:5+ Rh:3+ 2.5054027816031934
Ce:4+ Fe:3+ 2.5042921450208664
Ag:1+ Be:2+ 2.502955197165993
Ho:3+ Mo:3+ 2.4993933446352754
Mn:3+ Tb:4+ 2.497896026304076
Ce:3+ Dy:3+ 2.4940159418710373
Mg:2+ Ru:5+ 2.490871902969875
Mn:2+ Ti:3+ 2.4896923844359637
Co:3+ Sn:2+ 2.48946940530616
Er:3+ La:3+ 2.487917728456679
Ca:2+ Dy:3+ 2.486791484339865
Co:2+ Cr:4+ 2.485481864629131
Al:3+ Be:2+ 2.483491750384432
