ionA ionB gAB
Am:3+ Bi:3+ 1.2628563832921318
In:3+ Zn:2+ 1.2621788851563696
Sm:3+ Ti:3+ 1.2602581090635134
Cr:3+ Y:3+ 1.2600871059257914
Fe:2+ Ni:3+ 1.2580450145328193
Np:4+ Th:4+ 1.2574620352977726
Ce:4+ Tm:3+ 1.2574391726511445
Ag:1+ Ce:3+ 1.2571064648272265
Fe:4+ Sc:3+ 1.2550152308950224
Sn:2+ Zr:4+ 1.2544124209125926
Ag:1+ Tl:1+ 1.2541803678645662
Cd:2+ Ta:5+ 1.2529785421390105
Mg:2+ Tm:3+ 1.2517587935688785
Cr:3+ Sn:2+ 1.2507358503467927
Gd:3+ V:3+ 1.2503692220630422
Pu:3+ U:3+ 1.2502428441689528
Cu:3+ Ni:2+ 1.2491178252253627
In:3+ Tb:3+ 1.2476614416915748
As:5+ Ta:5+ 1.24696354407956
Mn:4+ Si:4+ 1.2467258559428314
Ag:2+ Zr:4+ 1.2465533589417082
Cs:1+ Nd:3+ 1.2462866889539137
Al:3+ Zn:2+ 1.245685557520024
Mo:4+ Po:4+ 1.2454855637580124
Fe:4+ Ti:3+ 1.2449672981856033
Gd:3+ Te:4+ 1.2438620407410563
Nd:3+ Rb:1+ 1.2429229522178669
Co:3+ Mg:2+ 1.242206120751468
Co:3+ Fe:4+ 1.2406473492145644
Re:6+ Te:6+ 1.2397209976949564
Ir:4+ Sb:5+ 1.2391795602923343
Gd:3+ Rh:3+ 1.2389299311403172
Yb:2+ Zn:2+ 1.2374661037190378
Mo:3+ Tb:3+ 1.2373233147556193
Ce:4+ Nb:5+ 1.236624998247621
Tl:3+ V:3+ 1.2362611371657457
Bi:3+ Pu:3+ 1.2359458933529384
Mo:4+ Re:4+ 1.2356698125340833
Ga:3+ Ni:2+ 1.2354793622500504
Lu:3+ Mn:2+ 1.2338357229916206
K:1+ Tm:3+ 1.2333272470014809
Hf:4+ P:5+ 1.2331690658463672
P:5+ Yb:2+ 1.2330052748041285
Sc:3+ Tl:3+ 1.2327869106945606
Mn:2+ Pt:4+ 1.2325534638766238
Cr:3+ Li:1+ 1.2312565877171833
Mg:2+ Ru:4+ 1.2310841954541283
Ag:1+ Al:3+ 1.230881613850073
Ta:4+ W:4+ 1.2299688777309825
Eu:3+ Sc:3+ 1.2293098644255245
B:3+ Ga:3+ 1.2272589703039947
Ce:2+ Nb:5+ 1.2270120490768295
Ir:5+ Re:5+ 1.226963914163252
Dy:2+ Sc:3+ 1.2265010612157743
Ir:4+ Ta:5+ 1.2257541168913488
Er:3+ Zr:4+ 1.2252841862750543
Mn:4+ Ru:4+ 12.244141283072636
Eu:3+ U:3+ 1.2237055429680441
Bi:5+ Ni:3+ 1.2233094754893281
Hg:2+ U:5+ 1.2207888674978737
Fe:2+ U:6+ 1.2206697988154511
La:3+ Rb:1+ 1.2202247011796281
Ag:3+ W:6+ 1.2188732602747474
Ni:2+ Tm:3+ 1.217471312043168
Bi:5+ Pd:2+ 1.216889646610222
Tb:4+ Ti:4+ 1.2167349803465868
Dy:2+ Ni:3+ 1.2164670493437102
Cr:3+ Tl:3+ 1.2164021432874788
Ce:3+ K:1+ 1.216334362148762
Ag:1+ Cd:2+ 1.2162900322227503
Bi:3+ Mo:3+ 1.2161182848556251
Ag:1+ Cu:2+ 1.215339247941054
Pb:4+ Ru:3+ 1.2151886172283708
I:7+ U:4+ 1.2150186002381431
Hg:2+ Pr:4+ 1.2146956870204746
Gd:3+ Sb:5+ 1.2143335436781821
Eu:2+ U:4+ 1.2135576421368335
Cd:2+ Fe:4+ 1.2131384128648306
Ru:5+ Tb:3+ 1.2115960318056227
Ag:3+ Mo:6+ 1.2115313970827655
Gd:3+ Pb:2+ 1.2112872584856664
Cd:2+ Mn:3+ 1.2102768137047863
Ge:4+ I:7+ 1.2083489969812062
Co:2+ Pt:4+ 1.208153976608749
Dy:3+ Fe:3+ 1.2079568617554475
Cd:2+ Pr:4+ 1.2066587783374545
Ir:4+ Zn:2+ 1.2059300961023833
Al:3+ Ru:3+ 1.205634427221835
Mn:5+ P:5+ 1.2050831519938883
Ni:2+ V:3+ 1.204625799326576
Ce:4+ Na:1+ 1.204407105781493
Mn:2+ Mn:4+ 1.2042512738202795
B:3+ La:3+ 1.2039134763655701
Co:4+ W:4+ 1.2030657097045345
Ca:2+ Zn:2+ 1.202844367652048
Fe:2+ Tm:3+ 1.2027310585865365
I:7+ Zn:2+ 1.2022858695427925
Ga:3+ Pr:4+ 1.2011704616515633
Fe:3+ K:1+ 1.200451653262165
Al:3+ Y:3+ 1.200071603921471
Ta:5+ Zn:2+ 1.1996896375356294
Cr:2+ V:3+ 1.1958670541157577
Sn:2+ Ti:3+ 1.1953386822934782
Te:6+ V:3+ 1.1952793540062678
Ni:3+ Sn:2+ 1.1952045633809925
Pt:2+ Ru:4+ 1.1949367018195765
Bi:3+ Tl:3+ 1.1946160321131087
Sr:2+ U:4+ 1.1931410664545035
Mo:3+ Sc:3+ 1.1931282247330792
La:3+ N:5+ 1.1920867307201821
Nb:4+ V:2+ 1.191882349100396
Pb:4+ Te:4+ 1.191081212568488
Cr:3+ Ru:4+ 1.1903664431644159
Ce:3+ Cr:3+ 1.1879755857859686
Ag:2+ Ni:3+ 1.187640435154162
S:2- Se:2- 11.864328815970106
Ag:1+ Co:3+ 1.1857444869200735
Ca:2+ Nb:5+ 1.1855336381107864
Ga:3+ Mg:2+ 1.185426501690545
Pd:3+ Zr:4+ 1.1853313950256616
Cr:4+ Se:4+ 1.1849997743346286
Sn:4+ Ti:4+ 11.848452814347336
Cr:3+ Hg:2+ 1.1847487148451825
Nb:4+ Pb:4+ 1.184574737331124
Ag:1+ K:1+ 1.1842093559691653
Ag:2+ Co:3+ 1.1837279702041898
Rh:2+ Zr:4+ 1.180335154769181
Co:2+ Na:1+ 1.1801080306955005
Cr:4+ Os:4+ 1.179226784225741
Cr:4+ Po:4+ 1.177905139034668
Pt:4+ Zn:2+ 1.1770119688937506
P:5+ Y:2+ 1.1767441824976987
Li:1+ Rh:3+ 1.1765278499828622
Nd:3+ Pb:2+ 1.1764066654725862
Os:4+ Po:4+ 1.1759348970351096
Fe:4+ Pd:2+ 1.175898713271246
Ir:4+ W:4+ 1.1756112448276779
Mo:6+ V:5+ 1.1755132557111079
Mn:2+ Ru:5+ 1.1719184199205983
Au:1+ Sn:2+ 1.1719027231387573
Se:4+ Tl:3+ 1.1716421828584596
Co:2+ Ti:2+ 1.1716265899244365
N:3- U:4+ 1.1714784423943865
Al:3+ Ti:4+ 1.1706869883679822
Rh:4+ Ti:4+ 1.170576532778926
Fe:2+ Yb:3+ 1.169962140931094
Cr:4+ Re:4+ 1.168621993451458
Ce:3+ Zr:4+ 1.168342273779827
Ca:2+ Cr:4+ 1.1679114746589738
Co:2+ V:4+ 1.1670949728118691
K:1+ V:3+ 1.1670749341284152
V:2+ V:4+ 1.1669034841761239
Na:1+ Re:7+ 1.1665134740647296
Cd:2+ Yb:2+ 1.1663748112843715
Ti:3+ Ti:4+ 1.1654763345808128
Cr:4+ Pb:4+ 1.1648082009528118
Ag:1+ Ti:4+ 1.1644749804525631
Sc:2+ V:2+ 1.1635360703936064
Cu:3+ Fe:3+ 1.1633311568742213
Co:3+ U:4+ 1.1630140343942834
Li:1+ Zn:2+ 1.1628275387595932
U:5+ Yb:3+ 1.1607178546758063
Mg:2+ Yb:3+ 1.160512983219998
Tb:4+ Yb:3+ 1.1596123205254678
Li:1+ Sm:3+ 1.1588022930655641
Cu:3+ Os:7+ 1.1582783107526977
Co:3+ Yb:3+ 1.157301066866925
Ca:2+ U:6+ 1.1565423580974261
Ce:4+ Co:2+ 1.1561407387808518
Re:5+ Sb:5+ 11.556198905727628
Hf:4+ Re:4+ 1.153960494213099
Ag:1+ Zn:2+ 1.1530649901397982
Ho:3+ V:5+ 1.152666979336576
Cr:2+ Sc:3+ 1.1520883652354557
K:1+ Ti:3+ 1.1513738611503361
Ti:4+ U:6+ 1.151207797230535
Al:3+ Cu:2+ 1.148598697416688
Pr:4+ U:5+ 1.1478513391017986
Rh:5+ Sn:4+ 1.147841050884778
Li:1+ Sb:5+ 1.14670768637584
Re:5+ W:6+ 11.463238557998013
Mo:3+ Tl:1+ 1.144985116643873
Cu:2+ Sn:4+ 1.1445645101912565
Se:4+ Yb:3+ 1.1443616717014249
Al:3+ Tm:3+ 1.1433664375526955
Ca:2+ Ti:4+ 1.1420236011064213
Ru:4+ Ru:5+ 1.1411911859538488
Mn:4+ V:3+ 1.1411435599769586
V:3+ Zn:2+ 1.1405821913584493
Al:3+ Ce:4+ 1.1398310127303806
Ag:1+ Mn:2+ 1.1380412843161793
Rh:3+ Zn:2+ 1.136858764264182
Al:3+ Mn:2+ 1.1368042474994353
Ir:4+ Yb:3+ 1.136678677732887
Lu:3+ Th:4+ 1.1362320534974466
Er:3+ Th:4+ 1.1348729297965323
Ba:2+ Pr:3+ 1.1343044663472062
Hf:4+ Tl:1+ 1.1342632421264642
Sc:3+ V:5+ 1.1338738410365394
In:3+ K:1+ 1.1330818682214348
N:3- O:2- 1.1330212336313028
Fe:3+ Tl:3+ 1.1327438941869556
Ce:3+ In:1+ 1.1321405448313897
N:3- Zr:4+ 1.1316228275534173
Pd:2+ Yb:2+ 1.1309087047283344
Cr:3+ Hf:4+ 1.130897251543323
Pu:4+ Ti:3+ 1.1307896319218624
Ce:4+ Mg:2+ 1.1305267651764332
Tb:3+ Te:4+ 1.1289821564867033
Pt:4+ Sn:4+ 11.288794675283357
Eu:3+ Li:1+ 1.128504040569876
Cl:7+ Re:7+ 1.1280493155103937
In:3+ Ir:3+ 1.1278444404550623
As:5+ Zn:2+ 1.1278176749736535
U:6+ Zn:2+ 1.1275799857067523
Bi:3+ In:3+ 1.127167192280749
Pb:2+ Ti:4+ 1.1270282531009934
Er:3+ Nb:5+ 1.1268654529512703
Hf:4+ Nd:3+ 1.1267131336981688
Eu:3+ K:1+ 1.125564876455777
Ga:3+ Yb:3+ 1.124949702898454
Mo:6+ Pd:2+ 1.1238509855523395
Cd:2+ Sb:5+ 1.1229363617476011
K:1+ Ru:5+ 1.1229271580086493
Co:2+ Nb:5+ 1.1227729363579246
Ac:3+ Eu:3+ 1.1210325399039225
Sn:4+ Ti:3+ 1.1206409183307584
As:3+ Tl:1+ 1.1200983540083531
Ce:3+ Sr:2+ 1.1200906836619904
Dy:2+ U:4+ 1.1192071797541792
Mo:4+ Pb:2+ 1.1191377535692517
Eu:3+ Sr:2+ 1.1184714283524213
Er:3+ Hf:4+ 1.1175464289004213
Te:4+ Zr:4+ 1.1153632478927877
Si:4+ Zr:4+ 1.1131865283763724
Ti:4+ U:4+ 1.1129572139213355
Re:7+ Th:4+ 1.112032792209483
Ce:4+ P:5+ 1.1120216098703084
F:1- N:3- 1.111746223664019
Cd:2+ Nb:5+ 1.111228950931127
Mn:4+ Pb:2+ 1.1107686366842358
Ru:4+ U:6+ 1.1102578365198075
Cr:3+ Zn:2+ 1.1097065958146688
Al:3+ Tb:4+ 1.1092285487345908
Ga:3+ I:5+ 1.1092231391309733
Mn:4+ Sb:5+ 1.1088432996802222
Mo:4+ Np:4+ 1.1087370611427434
Fe:2+ Fe:3+ 1.1086700243170613
Fe:4+ Sn:2+ 1.1082059813718728
Mg:2+ Os:7+ 1.1076725098032678
Al:3+ N:5+ 1.1075365074147736
Fe:3+ Sn:2+ 1.1074859469468574
Hf:4+ Ho:3+ 1.107423023968021
Rh:4+ W:6+ 1.1060354192325386
Ta:5+ Tb:3+ 1.1045293746794622
Ho:3+ Mg:2+ 1.101877739048089
Ce:4+ Eu:3+ 1.1000771086405516
Re:6+ Ti:3+ 1.099845203593519
Cs:1+ La:3+ 1.0996123176233359
Ir:4+ Pb:2+ 1.0981181666983275
Ce:3+ Sc:3+ 1.0967087164679086
Se:4+ Sn:4+ 1.0958454525743806
Ca:2+ Ce:4+ 1.0948868760862962
Ir:6+ U:6+ 1.094630405924648
Mo:4+ Pd:2+ 1.093247419333412
Eu:3+ W:6+ 1.0929680113018316
Fe:2+ Sc:3+ 1.0927457809184287
Te:6+ Tm:3+ 1.091768611962636
Co:2+ S:6+ 1.0902124713024839
Ti:4+ W:6+ 1.0896988087057073
Sc:3+ Zr:4+ 1.0893002376888519
Nb:4+ Th:4+ 1.0881382185741875
Al:3+ Na:1+ 1.0873445089753517
Ta:5+ Tm:3+ 1.0869023690212944
Cr:4+ Ge:4+ 1.086442631687954
In:3+ Mn:2+ 1.0860144298813574
Cr:2+ Ni:2+ 1.0856698587356108
Ho:3+ Ir:5+ 1.0856329339114308
Ca:2+ Zr:4+ 1.0855491237821524
Ni:2+ Te:6+ 1.0850084927021197
Rb:1+ Sc:3+ 1.0847271237780052
Ga:3+ Hg:2+ 1.084059655934682
K:1+ Os:7+ 1.0830974816760468
Mg:2+ U:4+ 1.082120397586493
Co:2+ Sn:2+ 1.0817762058952618
Dy:3+ Re:5+ 1.0795160867641513
Ni:3+ Pb:4+ 1.0789047375631198
Mo:4+ Ta:4+ 1.078571758227582
Gd:3+ Ni:3+ 1.0782679529720256
Y:3+ Zr:4+ 1.0765344770705443
Mn:4+ Sc:3+ 1.074152154687538
Fe:4+ Ta:5+ 1.0740365162421839
Ge:4+ Hf:4+ 1.0729610691128288
Ce:3+ Cr:5+ 1.072554538853858
Ag:1+ H:1+ 1.071601020636182
Cd:2+ Lu:3+ 1.0710617502660171
Cr:4+ Ti:4+ 1.0706294118027206
Cr:3+ W:6+ 1.0705572508138863
Lu:3+ U:4+ 1.0693078107109228
Ru:4+ Sb:5+ 1.069132836067103
Mn:3+ Yb:3+ 1.0680396643737515
Ag:1+ Si:4+ 1.0661759712782906
Cr:5+ Zr:4+ 1.0653092262004937
Sc:3+ Ta:5+ 1.0650774589478493
Cl:1- S:2- 1.0644229040799507
Ga:3+ Mn:2+ 1.063921805350802
Bi:3+ Ce:3+ 1.0627512377728021
Ir:4+ Sc:3+ 1.0618288728525207
W:6+ Y:3+ 1.061691949840241
W:6+ Yb:3+ 1.0607859047713462
Si:4+ U:4+ 1.0594951201568794
Cs:1+ Sm:3+ 1.0591321706034553
N:5+ Sc:3+ 1.057077220093064
Tm:3+ Zr:4+ 1.0568383534031824
As:5+ Li:1+ 1.0566675297103052
Hf:4+ Th:4+ 1.0565569301873
Co:2+ Ni:2+ 10.556625493934327
Ce:4+ Ti:4+ 1.0556584231079502
Co:2+ Mn:2+ 10.554037903633965
Ce:4+ Th:4+ 1.0550189606950535
Sm:3+ Zr:4+ 1.0546956685817628
Cl:1- I:1- 10.543114465227859
Na:1+ Ta:5+ 1.0537385396362628
Fe:3+ Li:1+ 1.0533923221484032
Pu:3+ Y:3+ 1.052319427137972
Se:6+ Si:4+ 1.050435289164578
Cu:1+ Fe:2+ 1.050106822405379
Pb:2+ V:2+ 1.049404706177766
Au:3+ K:1+ 1.0492648521944241
Ga:3+ Tl:3+ 1.0491493325616832
Mo:3+ W:3+ 1.0489702757088675
Fe:2+ Rh:4+ 1.048693039230092
Pu:4+ U:5+ 1.0486212859785595
Pu:4+ Tb:4+ 1.0476225190191721
Mo:6+ Sc:3+ 1.046714445352578
Re:7+ U:4+ 1.0465338896364351
Ce:4+ Ga:3+ 1.046272533327525
Fe:4+ Zr:4+ 1.0443283736168227
Re:6+ Tl:3+ 1.0442156590286242
Ru:5+ U:3+ 1.0437556115828852
Mn:2+ Yb:3+ 1.0432610208732773
Ce:3+ Se:4+ 1.042313301167685
Sm:3+ V:3+ 1.0419575665209657
Cs:1+ Pr:3+ 1.041387133027871
K:1+ Sc:3+ 1.041133826235319
Al:3+ Ru:5+ 1.0409878728179986
Cd:2+ Na:1+ 1.0404039904572753
Cd:2+ Ni:3+ 1.0402099939225855
Ca:2+ Li:1+ 1.0385844394261943
Fe:3+ Tl:1+ 1.037646105555584
Sb:5+ Tm:3+ 1.037622711932975
Cd:2+ Hg:2+ 10.368772743156674
In:3+ U:5+ 1.0368245844054838
In:1+ Pb:2+ 1.0367509480380033
Cm:3+ U:4+ 1.0362014968980733
Fe:3+ Pb:2+ 1.0358535282223202
Cr:6+ Ge:4+ 1.035786586769477
Cr:4+ Pd:2+ 1.0339274825343638
Np:3+ U:4+ 1.0333260977995238
Mn:7+ Se:6+ 1.033313694615614
Sr:2+ Y:3+ 1.0328581165178394
Bi:3+ Yb:3+ 1.0324694649184287
Fe:4+ Nb:4+ 1.03197505908657
Mo:4+ Sn:2+ 1.0303126583532398
S:6+ Si:4+ 1.0296169391501615
Ru:4+ Ti:4+ 10.292023964355648
Au:1+ Zn:2+ 1.0279404947532846
Sc:3+ Zn:2+ 1.027695175220297
Ce:4+ U:6+ 1.0270018380109205
Pd:2+ V:2+ 1.0258669723194858
Lu:3+ Se:4+ 1.0252468123875997
Cr:2+ Ru:4+ 1.0242781987256004
Fe:3+ Tm:3+ 1.02423401114022
Ce:4+ Tl:3+ 1.0240073839228512
Ru:3+ Ru:4+ 1.023506422192383
V:3+ W:6+ 1.0223792223349848
Ba:2+ Sm:3+ 1.0211463999814425
Dy:3+ Mo:6+ 1.0201337838219933
Co:3+ Na:1+ 1.0199214943004413
Ag:1+ Er:3+ 1.0199101603891327
Ce:4+ Pd:2+ 1.019469709861959
Ho:3+ Ir:6+ 1.0186488270249017
Co:2+ Tm:3+ 1.018426122473851
Mg:2+ Rh:3+ 1.0184111596400605
Bi:5+ Ca:2+ 1.0183356530723473
As:5+ Dy:3+ 1.0173363245343137
Rh:3+ U:5+ 1.0170906480516353
Mn:4+ Ti:2+ 1.0165601531100676
Ga:3+ Lu:3+ 1.016523744322433
Er:3+ Ta:5+ 1.0162311442872831
Er:3+ Mo:6+ 1.0154820828545883
Ir:6+ Mn:2+ 1.0147446606011634
Gd:3+ Zr:4+ 1.0143874425862376
Mg:2+ Pr:3+ 1.0143589448618682
Ag:1+ Cr:3+ 1.0142346586426338
Co:2+ Lu:3+ 1.0139071592819775
Np:4+ Pu:3+ 1.012245561508473
Mo:6+ U:5+ 1.0120983757597608
Ta:4+ V:2+ 1.012080639325169
Pr:4+ Rh:3+ 1.012014162636794
B:3+ C:4+ 10.119930713757478
Bi:5+ Sc:3+ 1.0119874042612134
Cu:3+ K:1+ 1.0118346273025185
Ag:3+ Cu:3+ 1.0110330884822725
Ag:2+ Cr:2+ 1.010837493796742
Co:2+ In:3+ 1.0107888440158272
U:5+ V:4+ 1.0099768708777026
Cu:2+ W:6+ 1.0086403795601009
Al:3+ Cu:1+ 1.0083728254515907
Bi:3+ Sm:3+ 1.007522581877813
Pu:4+ Sn:2+ 1.0072817738649538
Dy:3+ Ru:5+ 1.0068527076928646
Be:2+ Co:2+ 1.0067698384647332
Li:1+ Mo:3+ 1.0067653723547856
Pb:2+ V:3+ 1.0064622410246395
In:3+ Nb:5+ 1.006453176334525
Ce:4+ Li:1+ 1.005930076259622
Ni:2+ Yb:3+ 1.0059039095290085
Mn:2+ Nb:5+ 1.0058871721136886
Ni:2+ Se:4+ 1.0055671450816772
Gd:3+ Sr:2+ 1.005067487459806
Eu:2+ Th:4+ 1.0047766564322524
Hf:4+ Mn:4+ 1.0045861949404657
Mn:2+ Tm:3+ 1.004335237430138
Mo:3+ Ta:5+ 1.003786656645959
Ir:5+ Ru:5+ 10.034129350347591
Bi:3+ Gd:3+ 1.002154411734897
Cr:2+ Fe:2+ 1.0014166206333979
Mg:2+ Pb:2+ 1.0008066471922026
Ce:4+ Fe:4+ 1.0005652183849842
Bi:5+ Co:3+ 1.0004017956338425
Sr:2+ Th:4+ 1.0003054665336963
Ca:2+ Cs:1+ 0.9995316798370502
Ag:3+ Rh:3+ 0.9986381754385238
Mn:4+ Ta:3+ 0.9964997241544454
Co:4+ Ge:4+ 0.9964426384846974
Co:3+ Fe:2+ 0.9961496161187989
Mg:2+ Tb:4+ 0.9956495343758772
Ce:4+ Nd:3+ 0.9951766296145339
Ga:3+ Y:3+ 0.994913070270049
Np:4+ Pb:2+ 0.9939387120788172
Nb:5+ Sc:3+ 0.9936567471292101
Ag:1+ Mo:3+ 0.9931988563542398
Al:3+ Nb:4+ 0.9931524098029896
Nb:4+ Yb:2+ 0.992476697439814
Na:1+ U:3+ 0.9923719692547901
Nb:4+ Sn:2+ 0.991224528739438
Gd:3+ W:6+ 0.9892073390698581
Se:4+ Sr:2+ 0.9884603229543373
Ho:3+ Ni:2+ 0.9872027654221487
Bi:3+ Y:3+ 0.9870814039218183
Cr:6+ Tb:3+ 0.9867715254505487
Cr:5+ Lu:3+ 0.9836377674038171
Nb:5+ Ta:3+ 0.9822823072570559
Ce:3+ Sb:5+ 0.9821751374741083
Co:3+ Rh:3+ 0.9816009867544508
Mg:2+ Tb:3+ 0.9811118093926253
Sb:5+ Tb:3+ 0.9808515014652741
Rh:3+ U:3+ 0.9805744444206238
Ca:2+ Rh:3+ 0.9805536544321357
Ag:1+ Sb:5+ 0.9792356000105827
Sr:2+ Tb:3+ 0.9787736023808177
Mo:5+ Rh:3+ 0.9784311769517777
Ce:3+ N:3- 0.9779398102054687
Ir:4+ Zr:4+ 0.977760074736962
Al:3+ Tl:1+ 0.9768176247865111
Co:2+ Pb:4+ 0.9765135687081631
As:3+ Er:3+ 0.9762415601944902
Fe:2+ Nb:4+ 0.9761045126311553
Co:4+ Mn:6+ 0.9758172714744249
Eu:3+ V:3+ 0.9757012374521593
Ag:1+ Tl:3+ 0.9756380540056078
Cr:6+ Ho:2+ 0.9754855980929195
Yb:3+ Zr:4+ 0.9736506674118638
Gd:3+ V:5+ 0.9736478091160875
Eu:3+ Rb:1+ 0.9736271434327117
Tm:2+ Zr:4+ 0.973156657339778
P:5+ Tm:3+ 0.9730474203290379
Sc:3+ U:6+ 0.9726075392536462
Mn:3+ Sb:5+ 0.9722647111650632
La:3+ Nb:5+ 0.9719305863983694
Dy:2+ Ti:3+ 0.9719139612499148
V:4+ Yb:2+ 0.9713863869309206
Sb:5+ Yb:3+ 0.9708694970845124
Ce:4+ Tl:1+ 0.9698708225315456
Hf:4+ Li:1+ 0.9693507764880765
Hf:4+ Ru:4+ 0.9687644300170924
S:2- U:4+ 0.9686555586274119
Pr:4+ Ti:4+ 0.9684312897183713
V:2+ Yb:2+ 0.968017896330061
Cs:1+ Gd:3+ 0.9675651980128288
Ce:4+ Ru:4+ 0.967354255045948
Cu:3+ Ru:5+ 0.9667363412335972
Se:4+ Ti:4+ 0.9655091235009289
Co:3+ Tb:4+ 0.9654427611883402
Mn:4+ Pt:2+ 0.9652151280258674
Co:3+ Sn:4+ 0.9651196519245391
Ir:6+ K:1+ 0.9646689858641637
Ce:4+ Zn:2+ 0.9645428224034825
Ir:5+ Sm:3+ 0.9637421468403367
Hf:4+ Yb:2+ 0.9633981716749508
Ce:3+ Ti:3+ 0.9622058913255372
O:2- S:2- 0.9621566102195364
Pb:4+ Yb:2+ 0.9620828315332489
Bi:3+ Tm:3+ 0.961466971489384
Ho:3+ Sr:2+ 0.96101015189768
P:5+ U:4+ 0.9609810285390984
Mo:6+ Tl:1+ 0.9606464638939226
Pu:4+ Sn:4+ 0.9606132451099239
Ca:2+ Tl:3+ 0.9604031305096445
I:5+ Zr:4+ 0.9592360161679369
Bi:5+ Tm:3+ 0.9589363127947508
I:7+ Li:1+ 0.9587827648892124
Re:6+ Sc:3+ 0.9586347822623401
Fe:3+ Yb:2+ 0.9583712892662893
Ta:5+ Tl:1+ 0.9577203517996326
Cd:2+ Rh:4+ 0.9562517479342731
Cr:3+ Os:7+ 0.9561771594892036
Ag:2+ Pb:4+ 0.9544757634315831
In:1+ Sn:2+ 0.9544648296570742
Re:7+ Zr:4+ 0.9537285394568814
V:3+ Y:3+ 0.9534903488503502
Pd:4+ Ta:4+ 0.9528423971249274
Nd:3+ Sn:2+ 0.9526262600585479
Cs:1+ Er:3+ 0.952551040295785
Co:3+ Mo:3+ 0.951446528184751
Mg:2+ Nd:3+ 0.9512881235151562
Mo:3+ Rh:3+ 0.9512157330987271
Tc:7+ W:6+ 0.9511687084615044
Lu:3+ Yb:2+ 0.9509894092262979
Co:3+ Co:4+ 0.950775035670056
Ho:3+ Re:5+ 0.9507574220039633
Ag:1+ Ti:3+ 0.9504989708140434
Ni:4+ Se:4+ 0.9503579452971498
Cr:3+ Mo:6+ 0.9502798203916051
Hg:2+ Tb:4+ 0.9497137565796943
Nd:3+ Ti:3+ 0.949226500503891
Ag:2+ Ti:3+ 0.9488825204875019
Fe:3+ Tb:3+ 0.9480733358709459
Ti:3+ Tl:1+ 0.9468002051586286
Mo:4+ Ni:4+ 0.9462436052565091
Sm:2+ V:2+ 0.9458858511157585
Au:3+ Bi:3+ 0.9452730196942434
Ca:2+ Fe:3+ 0.9452368246993108
Ca:2+ Ir:4+ 0.9451262435860748
I:7+ Nb:5+ 0.9425640337862977
Cd:2+ Cr:2+ 0.9408031890908741
Er:3+ Ni:2+ 0.94074426379941
Ir:6+ Rh:3+ 0.9404968645914622
Co:4+ Pt:4+ 0.9402307132604877
Tm:2+ V:2+ 0.9391006295587432
Ta:5+ V:4+ 0.9390919331101141
Ag:1+ V:3+ 0.9389542444725134
Tb:4+ Zn:2+ 0.9387824648094032
Re:4+ Se:4+ 0.9371600809486247
Pd:2+ Ti:4+ 0.9370911985472599
Nb:5+ Tb:3+ 0.9370771660792361
Hf:4+ N:3- 0.9370632661893178
Ho:3+ Os:7+ 0.93632962673278
Ca:2+ I:5+ 0.9363097425137505
Pr:3+ V:3+ 0.9359482989310157
K:1+ Se:4+ 0.9356023703359587
Eu:3+ V:5+ 0.9355633975289536
Eu:3+ Ru:5+ 0.9352647816575083
Rh:3+ Tl:3+ 0.9345129221470138
Sn:2+ Ti:4+ 0.9343455755919613
As:3+ Rb:1+ 0.9339099049628551
Hg:2+ Si:4+ 0.9333675497690368
Ag:1+ Fe:3+ 0.9330894330754852
Bi:5+ Mn:4+ 0.9329884483686547
Ni:2+ Yb:2+ 0.9329132861609
Fe:3+ Ge:4+ 0.9327989903892614
Mn:2+ Os:7+ 0.9327409643858963
Ni:3+ U:4+ 0.9326966143683735
Ba:2+ Nd:3+ 0.9326405016897369
Ce:3+ Nb:5+ 0.931934562197479
P:5+ Y:3+ 0.9317151323085973
Mo:3+ Yb:3+ 0.9310860435429761
Ce:3+ Cr:6+ 0.9308853248559891
Pb:4+ Ta:5+ 0.9306689365779045
Bi:5+ U:5+ 0.9301501457331872
Am:3+ Y:3+ 0.9294235254356026
Ru:5+ Sm:3+ 0.9279396943408886
Fe:2+ Os:7+ 0.927199275534445
Pb:2+ Pd:2+ 0.9257798957757581
Co:2+ V:3+ 0.9255911953487391
Os:5+ Ru:5+ 0.9246674737917758
Co:4+ Zn:2+ 0.9243859215983512
Ta:3+ Ta:5+ 0.9241346015244081
Pb:2+ Zr:4+ 0.9240625548184458
Be:2+ Se:6+ 0.919981574958277
Ir:6+ Ti:3+ 0.9195776431281536
Nb:5+ Tl:1+ 0.9190015806297921
Cr:2+ Pb:4+ 0.918328666973146
Nd:3+ Ta:5+ 0.9182100486655799
Cr:6+ Mn:7+ 0.9177536856927442
Lu:3+ Zn:2+ 0.9177133278365351
Cr:3+ Eu:3+ 0.9173006273752268
Ce:4+ Sn:4+ 0.9163027698058719
Eu:2+ Yb:2+ 0.9161834692399407
Al:3+ Tl:3+ 0.9160482999447225
Ca:2+ Eu:2+ 0.9157971359309067
K:1+ Re:7+ 0.9155673352383287
Eu:2+ Sn:2+ 0.9150275566961565
Pu:4+ V:2+ 0.9148770956448566
Co:2+ Y:3+ 0.9143779482921339
Bi:5+ K:1+ 0.9143016038470654
I:5+ Ti:3+ 0.9140629480856545
Mo:6+ Pt:4+ 0.913668518023475
Pd:4+ Zn:2+ 0.9135121685110326
Pr:3+ Ti:3+ 0.9133257135234135
